ID,y
TEST_0000,82.36845
TEST_0001,81.1593
TEST_0002,87.29829
TEST_0003,92.09328
TEST_0004,81.411606
TEST_0005,81.63335
TEST_0006,81.5565
TEST_0007,81.61595
TEST_0008,89.06768
TEST_0009,81.681015
TEST_0010,82.2222
TEST_0011,81.63649
TEST_0012,81.737526
TEST_0013,82.099014
TEST_0014,81.60077
TEST_0015,99.07157
TEST_0016,82.575806
TEST_0017,82.28746
TEST_0018,81.57027
TEST_0019,85.99773
TEST_0020,82.34748
TEST_0021,81.660835
TEST_0022,82.94818
TEST_0023,81.78676
TEST_0024,82.611
TEST_0025,82.2603
TEST_0026,88.49679
TEST_0027,78.84909
TEST_0028,82.29515
TEST_0029,82.73012
TEST_0030,82.25719
TEST_0031,81.38661
TEST_0032,82.19711
TEST_0033,81.88748
TEST_0034,81.84595
TEST_0035,82.18853
TEST_0036,81.85353
TEST_0037,90.98427
TEST_0038,81.335205
TEST_0039,82.48616
TEST_0040,84.88652
TEST_0041,82.35786
TEST_0042,82.14172
TEST_0043,80.5349
TEST_0044,82.679245
TEST_0045,81.29589
TEST_0046,78.586716
TEST_0047,81.23526
TEST_0048,82.781876
TEST_0049,82.17148
TEST_0050,81.50339
TEST_0051,81.00186
TEST_0052,77.33735
TEST_0053,81.70691
TEST_0054,82.07519
TEST_0055,82.28476
TEST_0056,85.20736
TEST_0057,96.67197
TEST_0058,87.421844
TEST_0059,81.55531
TEST_0060,87.3102
TEST_0061,82.35726
TEST_0062,81.941666
TEST_0063,86.37651
TEST_0064,82.30217
TEST_0065,89.29349
TEST_0066,82.22732
TEST_0067,89.942245
TEST_0068,81.560905
TEST_0069,82.59883
TEST_0070,76.95561
TEST_0071,83.452545
TEST_0072,82.031944
TEST_0073,82.03525
TEST_0074,81.54802
TEST_0075,82.43985
TEST_0076,82.39185
TEST_0077,82.03145
TEST_0078,81.63576
TEST_0079,82.42174
TEST_0080,81.983376
TEST_0081,82.36472
TEST_0082,87.51771
TEST_0083,81.653244
TEST_0084,87.38156
TEST_0085,97.94592
TEST_0086,98.17111
TEST_0087,81.417816
TEST_0088,81.251755
TEST_0089,81.38837
TEST_0090,82.0858
TEST_0091,81.579834
TEST_0092,82.3627
TEST_0093,81.40609
TEST_0094,81.75239
TEST_0095,82.7478
TEST_0096,90.87485
TEST_0097,81.4913
TEST_0098,84.88648
TEST_0099,82.59456
TEST_0100,78.25279
TEST_0101,81.5475
TEST_0102,81.41167
TEST_0103,91.12945
TEST_0104,85.03549
TEST_0105,81.515045
TEST_0106,80.84758
TEST_0107,91.98406
TEST_0108,91.298065
TEST_0109,82.25461
TEST_0110,79.18973
TEST_0111,81.416794
TEST_0112,81.74102
TEST_0113,81.7012
TEST_0114,81.60515
TEST_0115,81.63322
TEST_0116,81.518265
TEST_0117,83.395996
TEST_0118,81.60957
TEST_0119,81.377
TEST_0120,81.53528
TEST_0121,91.48091
TEST_0122,95.84077
TEST_0123,91.50517
TEST_0124,81.390274
TEST_0125,93.70574
TEST_0126,84.719925
TEST_0127,81.50691
TEST_0128,81.55572
TEST_0129,81.86919
TEST_0130,96.71624
TEST_0131,88.95151
TEST_0132,80.06444
TEST_0133,85.09877
TEST_0134,82.66969
TEST_0135,82.046974
TEST_0136,81.63615
TEST_0137,81.693
TEST_0138,79.47482
TEST_0139,82.303856
TEST_0140,81.425934
TEST_0141,82.41582
TEST_0142,89.066666
TEST_0143,98.117485
TEST_0144,79.50515
TEST_0145,81.55997
TEST_0146,81.83916
TEST_0147,81.48211
TEST_0148,81.69916
TEST_0149,78.34386
TEST_0150,82.45811
TEST_0151,77.44375
TEST_0152,81.64933
TEST_0153,79.43256
TEST_0154,81.7018
TEST_0155,84.13747
TEST_0156,81.60709
TEST_0157,82.244545
TEST_0158,81.33996
TEST_0159,87.40361
TEST_0160,82.50706
TEST_0161,99.13948
TEST_0162,81.329346
TEST_0163,86.83643
TEST_0164,81.65817
TEST_0165,81.55029
TEST_0166,88.78885
TEST_0167,91.50632
TEST_0168,81.33631
TEST_0169,81.31517
TEST_0170,85.02315
TEST_0171,80.548706
TEST_0172,81.6702
TEST_0173,82.58019
TEST_0174,81.42678
TEST_0175,98.52736
TEST_0176,82.36278
TEST_0177,82.63997
TEST_0178,81.6549
TEST_0179,76.84837
TEST_0180,98.94734
TEST_0181,85.38208
TEST_0182,81.197525
TEST_0183,82.63009
TEST_0184,81.1494
TEST_0185,81.65851
TEST_0186,81.0974
TEST_0187,81.67996
TEST_0188,82.63954
TEST_0189,82.07661
TEST_0190,82.231636
TEST_0191,81.65807
TEST_0192,82.37321
TEST_0193,81.650665
TEST_0194,81.71419
TEST_0195,82.01985
TEST_0196,81.6246
TEST_0197,94.0468
TEST_0198,81.361176
TEST_0199,81.69294
TEST_0200,82.8409
TEST_0201,82.26865
TEST_0202,94.899155
TEST_0203,96.63095
TEST_0204,83.55437
TEST_0205,81.930115
TEST_0206,82.523926
TEST_0207,93.56675
TEST_0208,93.296135
TEST_0209,81.720184
TEST_0210,81.45707
TEST_0211,92.62285
TEST_0212,89.473694
TEST_0213,82.60654
TEST_0214,81.471954
TEST_0215,81.304276
TEST_0216,85.90758
TEST_0217,82.36467
TEST_0218,89.390175
TEST_0219,81.724335
TEST_0220,82.503174
TEST_0221,81.546234
TEST_0222,81.83887
TEST_0223,78.18491
TEST_0224,95.535416
TEST_0225,81.41436
TEST_0226,82.237045
TEST_0227,81.63861
TEST_0228,86.66087
TEST_0229,82.01125
TEST_0230,82.62009
TEST_0231,82.95313
TEST_0232,82.51441
TEST_0233,79.287384
TEST_0234,80.82986
TEST_0235,81.83988
TEST_0236,81.71434
TEST_0237,90.46722
TEST_0238,82.73477
TEST_0239,81.45748
TEST_0240,81.78192
TEST_0241,90.72691
TEST_0242,82.544586
TEST_0243,81.534164
TEST_0244,97.832245
TEST_0245,82.38199
TEST_0246,82.15108
TEST_0247,91.838165
TEST_0248,82.64053
TEST_0249,81.618835
TEST_0250,81.37754
TEST_0251,82.205986
TEST_0252,81.52791
TEST_0253,82.69305
TEST_0254,96.77839
TEST_0255,81.42285
TEST_0256,82.20773
TEST_0257,81.36902
TEST_0258,80.67744
TEST_0259,92.17854
TEST_0260,81.806526
TEST_0261,81.323
TEST_0262,81.592316
TEST_0263,82.20215
TEST_0264,81.57052
TEST_0265,82.10446
TEST_0266,81.64959
TEST_0267,83.61847
TEST_0268,81.34398
TEST_0269,81.38449
TEST_0270,77.36981
TEST_0271,82.27232
TEST_0272,82.33823
TEST_0273,81.31855
TEST_0274,82.54898
TEST_0275,78.214966
TEST_0276,81.966705
TEST_0277,81.53517
TEST_0278,81.94897
TEST_0279,80.667274
TEST_0280,81.03479
TEST_0281,81.68866
TEST_0282,81.077446
TEST_0283,78.326614
TEST_0284,81.46659
TEST_0285,81.63855
TEST_0286,82.473785
TEST_0287,81.36855
TEST_0288,84.71521
TEST_0289,83.889465
TEST_0290,81.39569
TEST_0291,90.07385
TEST_0292,81.48256
TEST_0293,82.76803
TEST_0294,81.67131
TEST_0295,82.48327
TEST_0296,82.014694
TEST_0297,81.17584
TEST_0298,84.13127
TEST_0299,94.074295
TEST_0300,81.083565
TEST_0301,82.40713
TEST_0302,81.39573
TEST_0303,81.84993
TEST_0304,81.631874
TEST_0305,81.68929
TEST_0306,88.84348
TEST_0307,81.53543
TEST_0308,83.02135
TEST_0309,97.89018
TEST_0310,81.38448
TEST_0311,89.28019
TEST_0312,82.33476
TEST_0313,93.594955
TEST_0314,82.43765
TEST_0315,82.7722
TEST_0316,80.98664
TEST_0317,81.8586
TEST_0318,82.30026
TEST_0319,82.313934
TEST_0320,92.75917
TEST_0321,81.53773
TEST_0322,82.1481
TEST_0323,81.76077
TEST_0324,82.19879
TEST_0325,81.47121
TEST_0326,96.267654
TEST_0327,81.90933
TEST_0328,81.30921
TEST_0329,82.207146
TEST_0330,81.68413
TEST_0331,81.81917
TEST_0332,81.703094
TEST_0333,81.41762
TEST_0334,81.47569
TEST_0335,82.44932
TEST_0336,81.47522
TEST_0337,81.68133
TEST_0338,81.380585
TEST_0339,81.39464
TEST_0340,82.386444
TEST_0341,83.271515
TEST_0342,81.55626
TEST_0343,82.30574
TEST_0344,81.62457
TEST_0345,81.058075
TEST_0346,81.69861
TEST_0347,93.34125
TEST_0348,82.30395
TEST_0349,82.17713
TEST_0350,81.52751
TEST_0351,82.52763
TEST_0352,81.912704
TEST_0353,81.62337
TEST_0354,81.66287
TEST_0355,88.06908
TEST_0356,81.401306
TEST_0357,80.68464
TEST_0358,81.38506
TEST_0359,82.398224
TEST_0360,81.33859
TEST_0361,97.39965
TEST_0362,82.01181
TEST_0363,82.13655
TEST_0364,81.386314
TEST_0365,79.82409
TEST_0366,89.130455
TEST_0367,92.32848
TEST_0368,78.51039
TEST_0369,82.21066
TEST_0370,82.09185
TEST_0371,81.35071
TEST_0372,82.64583
TEST_0373,81.86454
TEST_0374,76.89165
TEST_0375,81.82537
TEST_0376,81.43094
TEST_0377,80.791794
TEST_0378,94.44771
TEST_0379,82.55736
TEST_0380,81.7249
TEST_0381,81.445206
TEST_0382,81.39107
TEST_0383,82.149155
TEST_0384,82.19477
TEST_0385,81.95384
TEST_0386,82.639534
TEST_0387,82.2075
TEST_0388,81.6124
TEST_0389,92.883286
TEST_0390,81.71059
TEST_0391,82.35689
TEST_0392,94.27661
TEST_0393,81.679054
TEST_0394,87.78128
TEST_0395,81.74423
TEST_0396,81.36322
TEST_0397,82.44035
TEST_0398,81.48387
TEST_0399,85.871765
TEST_0400,81.979515
TEST_0401,81.42389
TEST_0402,82.53436
TEST_0403,98.48414
TEST_0404,82.44914
TEST_0405,82.4894
TEST_0406,83.4132
TEST_0407,82.24547
TEST_0408,82.42647
TEST_0409,81.76705
TEST_0410,91.63676
TEST_0411,80.839874
TEST_0412,80.583466
TEST_0413,81.34699
TEST_0414,81.42108
TEST_0415,80.18242
TEST_0416,84.4387
TEST_0417,82.61566
TEST_0418,81.42619
TEST_0419,82.383545
TEST_0420,82.51701
TEST_0421,82.267365
TEST_0422,81.51349
TEST_0423,82.77617
TEST_0424,81.372635
TEST_0425,93.50962
TEST_0426,82.177376
TEST_0427,77.84157
TEST_0428,81.870705
TEST_0429,81.57369
TEST_0430,82.5875
TEST_0431,81.18995
TEST_0432,84.977806
TEST_0433,81.65611
TEST_0434,88.69891
TEST_0435,82.32396
TEST_0436,82.860695
TEST_0437,81.55091
TEST_0438,92.48378
TEST_0439,82.14711
TEST_0440,82.76909
TEST_0441,82.50723
TEST_0442,81.232025
TEST_0443,82.2294
TEST_0444,82.3037
TEST_0445,81.336624
TEST_0446,81.66435
TEST_0447,99.29161
TEST_0448,81.48573
TEST_0449,78.370926
TEST_0450,81.694275
TEST_0451,82.10681
TEST_0452,81.976685
TEST_0453,95.255104
TEST_0454,82.25893
TEST_0455,81.395615
TEST_0456,81.04849
TEST_0457,80.89933
TEST_0458,82.49417
TEST_0459,82.44374
TEST_0460,95.35103
TEST_0461,81.36902
TEST_0462,81.79536
TEST_0463,82.80764
TEST_0464,83.81791
TEST_0465,81.7288
TEST_0466,82.38645
TEST_0467,82.11701
TEST_0468,82.291855
TEST_0469,82.60169
TEST_0470,81.36437
TEST_0471,81.574295
TEST_0472,82.648605
TEST_0473,81.327415
TEST_0474,81.73813
TEST_0475,87.32112
TEST_0476,81.329666
TEST_0477,81.26343
TEST_0478,81.72335
TEST_0479,82.5921
TEST_0480,82.01592
TEST_0481,81.342316
TEST_0482,81.89528
TEST_0483,82.173615
TEST_0484,81.64645
TEST_0485,81.59177
TEST_0486,81.691895
TEST_0487,81.86624
TEST_0488,82.58678
TEST_0489,82.03887
TEST_0490,93.61508
TEST_0491,77.69954
TEST_0492,81.408424
TEST_0493,90.56032
TEST_0494,79.30203
TEST_0495,82.56145
TEST_0496,98.93204
TEST_0497,81.59743
TEST_0498,84.959595
TEST_0499,81.575645
TEST_0500,82.67164
TEST_0501,79.650276
TEST_0502,83.379715
TEST_0503,81.821266
TEST_0504,83.53792
TEST_0505,80.74177
TEST_0506,98.73234
TEST_0507,81.76039
TEST_0508,81.623055
TEST_0509,81.41541
TEST_0510,92.8494
TEST_0511,84.032974
TEST_0512,81.6503
TEST_0513,82.9118
TEST_0514,84.453674
TEST_0515,80.596664
TEST_0516,76.888016
TEST_0517,81.367226
TEST_0518,81.633514
TEST_0519,81.7333
TEST_0520,93.81506
TEST_0521,82.53987
TEST_0522,81.43825
TEST_0523,81.30815
TEST_0524,77.15438
TEST_0525,81.21704
TEST_0526,82.60748
TEST_0527,82.0154
TEST_0528,92.88525
TEST_0529,81.90846
TEST_0530,83.32298
TEST_0531,77.867485
TEST_0532,81.62069
TEST_0533,82.67107
TEST_0534,82.36847
TEST_0535,95.36345
TEST_0536,81.35622
TEST_0537,81.328064
TEST_0538,95.53514
TEST_0539,96.23094
TEST_0540,79.08515
TEST_0541,85.44458
TEST_0542,95.95159
TEST_0543,82.14747
TEST_0544,90.9996
TEST_0545,82.01823
TEST_0546,81.44089
TEST_0547,81.87046
TEST_0548,92.39624
TEST_0549,82.71474
TEST_0550,82.168655
TEST_0551,80.623116
TEST_0552,82.68877
TEST_0553,81.573265
TEST_0554,81.798355
TEST_0555,82.58898
TEST_0556,81.50102
TEST_0557,81.81848
TEST_0558,81.63306
TEST_0559,81.50011
TEST_0560,87.57524
TEST_0561,80.29741
TEST_0562,97.10334
TEST_0563,81.70824
TEST_0564,81.74086
TEST_0565,81.798416
TEST_0566,81.66007
TEST_0567,81.41676
TEST_0568,82.86197
TEST_0569,82.17932
TEST_0570,82.68556
TEST_0571,98.808716
TEST_0572,99.32854
TEST_0573,80.309784
TEST_0574,81.641075
TEST_0575,82.16359
TEST_0576,81.520454
TEST_0577,80.811516
TEST_0578,82.32576
TEST_0579,82.34455
TEST_0580,97.35156
TEST_0581,97.72336
TEST_0582,82.37984
TEST_0583,84.218666
TEST_0584,81.74418
TEST_0585,81.61809
TEST_0586,81.57176
TEST_0587,82.65984
TEST_0588,97.95729
TEST_0589,81.29637
TEST_0590,81.004974
TEST_0591,82.301285
TEST_0592,98.36055
TEST_0593,81.68005
TEST_0594,84.16042
TEST_0595,82.46541
TEST_0596,82.10919
TEST_0597,82.287704
TEST_0598,82.374275
TEST_0599,82.772675
TEST_0600,81.68033
TEST_0601,82.74528
TEST_0602,82.68169
TEST_0603,94.44107
TEST_0604,81.84735
TEST_0605,82.223625
TEST_0606,81.273605
TEST_0607,82.65637
TEST_0608,100.019775
TEST_0609,81.9342
TEST_0610,89.28298
TEST_0611,89.243004
TEST_0612,93.56668
TEST_0613,98.267204
TEST_0614,81.7165
TEST_0615,79.94062
TEST_0616,81.44765
TEST_0617,81.54686
TEST_0618,81.34684
TEST_0619,82.16313
TEST_0620,82.23433
TEST_0621,98.3432
TEST_0622,81.61185
TEST_0623,82.00995
TEST_0624,81.68523
TEST_0625,81.51129
TEST_0626,81.58569
TEST_0627,95.63669
TEST_0628,90.73246
TEST_0629,81.4494
TEST_0630,81.75722
TEST_0631,80.58052
TEST_0632,93.21671
TEST_0633,82.35646
TEST_0634,81.60614
TEST_0635,91.7919
TEST_0636,81.311386
TEST_0637,82.948105
TEST_0638,83.086464
TEST_0639,81.46989
TEST_0640,81.67765
TEST_0641,80.78851
TEST_0642,95.09993
TEST_0643,84.66597
TEST_0644,81.13634
TEST_0645,81.74487
TEST_0646,82.359985
TEST_0647,98.217316
TEST_0648,82.89406
TEST_0649,81.56075
TEST_0650,81.855286
TEST_0651,82.12128
TEST_0652,81.79164
TEST_0653,78.81481
TEST_0654,81.328735
TEST_0655,79.573746
TEST_0656,81.44345
TEST_0657,81.7444
TEST_0658,82.51641
TEST_0659,81.871895
TEST_0660,82.3172
TEST_0661,82.00747
TEST_0662,81.71634
TEST_0663,81.9955
TEST_0664,81.43915
TEST_0665,92.54934
TEST_0666,99.69178
TEST_0667,82.088326
TEST_0668,81.44853
TEST_0669,81.57185
TEST_0670,81.6236
TEST_0671,81.42183
TEST_0672,81.87891
TEST_0673,78.75473
TEST_0674,81.644165
TEST_0675,81.866165
