ID,y
TEST_0000,83.71541
TEST_0001,82.1483
TEST_0002,89.98498
TEST_0003,90.55723
TEST_0004,82.157265
TEST_0005,82.201805
TEST_0006,82.146736
TEST_0007,82.14749
TEST_0008,89.93905
TEST_0009,82.146736
TEST_0010,83.462906
TEST_0011,82.46161
TEST_0012,83.06898
TEST_0013,83.2158
TEST_0014,82.22489
TEST_0015,91.80759
TEST_0016,85.097176
TEST_0017,83.39035
TEST_0018,82.80868
TEST_0019,89.84688
TEST_0020,84.77138
TEST_0021,82.146736
TEST_0022,89.15042
TEST_0023,82.25013
TEST_0024,84.87011
TEST_0025,83.519615
TEST_0026,90.017075
TEST_0027,82.146736
TEST_0028,83.35192
TEST_0029,85.13377
TEST_0030,83.36322
TEST_0031,82.35264
TEST_0032,83.20278
TEST_0033,82.61012
TEST_0034,83.13454
TEST_0035,83.71617
TEST_0036,82.816956
TEST_0037,90.470375
TEST_0038,82.146736
TEST_0039,83.91543
TEST_0040,89.122086
TEST_0041,83.81848
TEST_0042,82.91749
TEST_0043,82.14761
TEST_0044,84.95685
TEST_0045,82.146736
TEST_0046,82.146736
TEST_0047,82.146736
TEST_0048,89.05333
TEST_0049,83.57009
TEST_0050,82.64201
TEST_0051,82.146736
TEST_0052,82.15153
TEST_0053,82.146736
TEST_0054,83.57271
TEST_0055,83.43496
TEST_0056,89.59407
TEST_0057,91.37741
TEST_0058,89.75138
TEST_0059,82.15392
TEST_0060,89.908585
TEST_0061,83.99041
TEST_0062,82.918144
TEST_0063,89.81087
TEST_0064,83.90444
TEST_0065,89.96182
TEST_0066,83.829155
TEST_0067,90.21226
TEST_0068,82.191444
TEST_0069,84.735016
TEST_0070,82.146736
TEST_0071,85.34671
TEST_0072,83.13601
TEST_0073,83.43712
TEST_0074,82.146736
TEST_0075,83.87153
TEST_0076,88.92858
TEST_0077,83.04847
TEST_0078,82.146736
TEST_0079,84.65882
TEST_0080,83.37113
TEST_0081,83.82535
TEST_0082,89.80899
TEST_0083,82.28787
TEST_0084,89.789215
TEST_0085,91.398384
TEST_0086,91.69382
TEST_0087,82.146736
TEST_0088,82.146736
TEST_0089,82.146736
TEST_0090,83.28673
TEST_0091,82.28339
TEST_0092,83.44725
TEST_0093,82.146736
TEST_0094,82.47864
TEST_0095,84.95004
TEST_0096,90.25908
TEST_0097,82.681526
TEST_0098,89.631516
TEST_0099,83.8491
TEST_0100,82.146736
TEST_0101,82.146736
TEST_0102,82.63534
TEST_0103,90.54755
TEST_0104,87.312355
TEST_0105,82.63291
TEST_0106,87.846146
TEST_0107,90.60943
TEST_0108,90.58984
TEST_0109,83.256874
TEST_0110,82.146736
TEST_0111,82.14827
TEST_0112,82.33458
TEST_0113,82.90703
TEST_0114,82.75582
TEST_0115,82.92182
TEST_0116,82.35565
TEST_0117,89.46299
TEST_0118,82.3375
TEST_0119,82.146736
TEST_0120,82.83416
TEST_0121,90.3977
TEST_0122,91.45266
TEST_0123,90.51714
TEST_0124,82.162254
TEST_0125,90.850815
TEST_0126,88.92724
TEST_0127,82.82721
TEST_0128,82.146736
TEST_0129,83.016426
TEST_0130,91.07384
TEST_0131,90.27594
TEST_0132,82.165306
TEST_0133,89.63056
TEST_0134,84.74098
TEST_0135,83.29275
