Epoch 1/300, Top 10% threshold: 89.9993
Epoch 2/300, Top 10% threshold: 87.0240
Epoch 3/300, Top 10% threshold: 82.2825
Epoch 4/300, Top 10% threshold: 92.2973
Epoch 5/300, Top 10% threshold: 88.2449
Epoch 6/300, Top 10% threshold: 85.7442
Epoch 7/300, Top 10% threshold: 85.9580
Epoch 8/300, Top 10% threshold: 86.9467
Epoch 9/300, Top 10% threshold: 84.8815
Epoch 10/300, Top 10% threshold: 84.7950
Epoch 11/300, Top 10% threshold: 85.8580
Epoch 12/300, Top 10% threshold: 86.4825
Epoch 13/300, Top 10% threshold: 87.4138
Epoch 14/300, Top 10% threshold: 87.7274
Epoch 15/300, Top 10% threshold: 86.8546
Epoch 16/300, Top 10% threshold: 86.5718
Epoch 17/300, Top 10% threshold: 88.4940
Epoch 18/300, Top 10% threshold: 89.9161
Epoch 19/300, Top 10% threshold: 89.2700
Epoch 20/300, Top 10% threshold: 89.4026
Epoch 21/300, Top 10% threshold: 90.2979
Epoch 22/300, Top 10% threshold: 87.5800
Epoch 23/300, Top 10% threshold: 89.0102
Epoch 24/300, Top 10% threshold: 88.6236
Epoch 25/300, Top 10% threshold: 88.4257
Epoch 26/300, Top 10% threshold: 87.4596
Epoch 27/300, Top 10% threshold: 89.5857
Epoch 28/300, Top 10% threshold: 91.9674
Epoch 29/300, Top 10% threshold: 88.2071
Epoch 30/300, Top 10% threshold: 91.5881
Epoch 31/300, Top 10% threshold: 88.2045
Epoch 32/300, Top 10% threshold: 88.3580
Epoch 33/300, Top 10% threshold: 88.5315
Epoch 34/300, Top 10% threshold: 89.2128
Epoch 35/300, Top 10% threshold: 89.9982
Epoch 36/300, Top 10% threshold: 89.6638
Epoch 37/300, Top 10% threshold: 89.6758
Epoch 38/300, Top 10% threshold: 90.5941
Epoch 39/300, Top 10% threshold: 89.8810
Epoch 40/300, Top 10% threshold: 89.8362
Epoch 41/300, Top 10% threshold: 89.9619
Epoch 42/300, Top 10% threshold: 89.7227
Epoch 43/300, Top 10% threshold: 90.9132
Epoch 44/300, Top 10% threshold: 90.2628
Epoch 45/300, Top 10% threshold: 89.2961
Epoch 46/300, Top 10% threshold: 90.0154
Epoch 47/300, Top 10% threshold: 89.7149
Epoch 48/300, Top 10% threshold: 89.6455
Epoch 49/300, Top 10% threshold: 90.7876
Epoch 50/300, Top 10% threshold: 90.9286
Epoch 51/300, Top 10% threshold: 90.2073
Epoch 52/300, Top 10% threshold: 90.1341
Epoch 53/300, Top 10% threshold: 89.0601
Epoch 54/300, Top 10% threshold: 90.6902
Epoch 55/300, Top 10% threshold: 90.8006
Epoch 56/300, Top 10% threshold: 89.3777
Epoch 57/300, Top 10% threshold: 90.0536
Epoch 58/300, Top 10% threshold: 90.1620
Epoch 59/300, Top 10% threshold: 90.9316
Epoch 60/300, Top 10% threshold: 91.2577
Epoch 61/300, Top 10% threshold: 89.9102
Epoch 62/300, Top 10% threshold: 89.4939
Epoch 63/300, Top 10% threshold: 89.9973
Epoch 64/300, Top 10% threshold: 90.0399
Epoch 65/300, Top 10% threshold: 89.7808
Epoch 66/300, Top 10% threshold: 90.7453
Epoch 67/300, Top 10% threshold: 90.0584
Epoch 68/300, Top 10% threshold: 90.9147
Epoch 69/300, Top 10% threshold: 89.9145
Epoch 70/300, Top 10% threshold: 89.7991
Epoch 71/300, Top 10% threshold: 90.4626
Epoch 72/300, Top 10% threshold: 90.2651
Epoch 73/300, Top 10% threshold: 90.3182
Epoch 74/300, Top 10% threshold: 90.7078
Epoch 75/300, Top 10% threshold: 90.4162
Epoch 76/300, Top 10% threshold: 90.0249
Epoch 77/300, Top 10% threshold: 90.4358
Epoch 78/300, Top 10% threshold: 90.3024
Epoch 79/300, Top 10% threshold: 88.9699
Epoch 80/300, Top 10% threshold: 91.0641
Epoch 81/300, Top 10% threshold: 89.9942
Epoch 82/300, Top 10% threshold: 90.5458
Epoch 83/300, Top 10% threshold: 90.6538
Epoch 84/300, Top 10% threshold: 90.4726
Epoch 85/300, Top 10% threshold: 90.1495
Epoch 86/300, Top 10% threshold: 89.6474
Epoch 87/300, Top 10% threshold: 89.2661
Epoch 88/300, Top 10% threshold: 90.1631
Epoch 89/300, Top 10% threshold: 89.9186
Epoch 90/300, Top 10% threshold: 91.0177
Epoch 91/300, Top 10% threshold: 91.3287
Epoch 92/300, Top 10% threshold: 90.8357
Epoch 93/300, Top 10% threshold: 90.5218
Epoch 94/300, Top 10% threshold: 90.4708
Epoch 95/300, Top 10% threshold: 90.4154
Epoch 96/300, Top 10% threshold: 90.7167
Epoch 97/300, Top 10% threshold: 90.4115
Epoch 98/300, Top 10% threshold: 89.8844
Epoch 99/300, Top 10% threshold: 90.8747
Epoch 100/300, Top 10% threshold: 90.9170
Epoch 101/300, Top 10% threshold: 89.1645
Epoch 102/300, Top 10% threshold: 90.0842
Epoch 103/300, Top 10% threshold: 90.5802
Epoch 104/300, Top 10% threshold: 90.3678
Epoch 105/300, Top 10% threshold: 90.0680
Epoch 106/300, Top 10% threshold: 89.9154
Epoch 107/300, Top 10% threshold: 90.5911
Epoch 108/300, Top 10% threshold: 90.0313
Epoch 109/300, Top 10% threshold: 90.5424
Epoch 110/300, Top 10% threshold: 89.9908
Epoch 111/300, Top 10% threshold: 89.5633
Epoch 112/300, Top 10% threshold: 89.9717
Epoch 113/300, Top 10% threshold: 90.3319
Epoch 114/300, Top 10% threshold: 90.1426
Epoch 115/300, Top 10% threshold: 89.9271
Epoch 116/300, Top 10% threshold: 90.6931
Epoch 117/300, Top 10% threshold: 89.7062
Epoch 118/300, Top 10% threshold: 90.2358
Epoch 119/300, Top 10% threshold: 89.1881
Epoch 120/300, Top 10% threshold: 90.0671
Epoch 121/300, Top 10% threshold: 90.4147
Epoch 122/300, Top 10% threshold: 89.9091
Epoch 123/300, Top 10% threshold: 90.7232
Epoch 124/300, Top 10% threshold: 89.6051
Epoch 125/300, Top 10% threshold: 89.7523
Epoch 126/300, Top 10% threshold: 89.6784
Epoch 127/300, Top 10% threshold: 89.8331
Epoch 128/300, Top 10% threshold: 90.6586
Epoch 129/300, Top 10% threshold: 89.7262
Epoch 130/300, Top 10% threshold: 89.7120
Epoch 131/300, Top 10% threshold: 89.7909
Epoch 132/300, Top 10% threshold: 90.6779
Epoch 133/300, Top 10% threshold: 88.8877
Epoch 134/300, Top 10% threshold: 90.5751
Epoch 135/300, Top 10% threshold: 89.9498
Epoch 136/300, Top 10% threshold: 89.8532
Epoch 137/300, Top 10% threshold: 89.8564
Epoch 138/300, Top 10% threshold: 89.4727
Epoch 139/300, Top 10% threshold: 89.1619
Epoch 140/300, Top 10% threshold: 90.0208
Epoch 141/300, Top 10% threshold: 91.1250
Epoch 142/300, Top 10% threshold: 89.5256
Epoch 143/300, Top 10% threshold: 90.1542
Epoch 144/300, Top 10% threshold: 89.7892
Epoch 145/300, Top 10% threshold: 90.0080
Epoch 146/300, Top 10% threshold: 90.1149
Epoch 147/300, Top 10% threshold: 89.4706
Epoch 148/300, Top 10% threshold: 90.9446
Epoch 149/300, Top 10% threshold: 90.1731
Epoch 150/300, Top 10% threshold: 90.2767
Epoch 151/300, Top 10% threshold: 90.0368
Epoch 152/300, Top 10% threshold: 90.1246
Epoch 153/300, Top 10% threshold: 90.8053
Epoch 154/300, Top 10% threshold: 90.3143
Epoch 155/300, Top 10% threshold: 90.7457
Epoch 156/300, Top 10% threshold: 90.3943
Epoch 157/300, Top 10% threshold: 90.0257
Epoch 158/300, Top 10% threshold: 90.4151
Epoch 159/300, Top 10% threshold: 89.5917
Epoch 160/300, Top 10% threshold: 90.3124
Epoch 161/300, Top 10% threshold: 90.6755
Epoch 162/300, Top 10% threshold: 90.5221
Epoch 163/300, Top 10% threshold: 90.5158
Epoch 164/300, Top 10% threshold: 92.2105
Epoch 165/300, Top 10% threshold: 89.7578
Epoch 166/300, Top 10% threshold: 90.1518
Epoch 167/300, Top 10% threshold: 90.0570
Epoch 168/300, Top 10% threshold: 89.5325
Epoch 169/300, Top 10% threshold: 90.5146
Epoch 170/300, Top 10% threshold: 90.3549
Epoch 171/300, Top 10% threshold: 89.5103
Epoch 172/300, Top 10% threshold: 90.7479
Epoch 173/300, Top 10% threshold: 89.7886
Epoch 174/300, Top 10% threshold: 90.3556
Epoch 175/300, Top 10% threshold: 90.6448
Epoch 176/300, Top 10% threshold: 90.0616
Epoch 177/300, Top 10% threshold: 90.7614
Epoch 178/300, Top 10% threshold: 89.6168
Epoch 179/300, Top 10% threshold: 90.0860
Epoch 180/300, Top 10% threshold: 90.7164
Epoch 181/300, Top 10% threshold: 89.6684
Epoch 182/300, Top 10% threshold: 89.5357
Epoch 183/300, Top 10% threshold: 90.1006
Epoch 184/300, Top 10% threshold: 90.6533
Epoch 185/300, Top 10% threshold: 89.3727
Epoch 186/300, Top 10% threshold: 90.3916
Epoch 187/300, Top 10% threshold: 90.1229
Epoch 188/300, Top 10% threshold: 90.6249
Epoch 189/300, Top 10% threshold: 90.5064
Epoch 190/300, Top 10% threshold: 90.0248
Epoch 191/300, Top 10% threshold: 90.3822
Epoch 192/300, Top 10% threshold: 90.1936
Epoch 193/300, Top 10% threshold: 90.2775
Epoch 194/300, Top 10% threshold: 90.3822
Epoch 195/300, Top 10% threshold: 89.3567
Epoch 196/300, Top 10% threshold: 89.6122
Epoch 197/300, Top 10% threshold: 90.0487
Epoch 198/300, Top 10% threshold: 89.6336
Epoch 199/300, Top 10% threshold: 89.8088
Epoch 200/300, Top 10% threshold: 90.5969
Epoch 201/300, Top 10% threshold: 89.7872
Epoch 202/300, Top 10% threshold: 89.8314
Epoch 203/300, Top 10% threshold: 90.2736
Epoch 204/300, Top 10% threshold: 90.3213
Epoch 205/300, Top 10% threshold: 90.3067
Epoch 206/300, Top 10% threshold: 89.8948
Epoch 207/300, Top 10% threshold: 89.9963
Epoch 208/300, Top 10% threshold: 90.2097
Epoch 209/300, Top 10% threshold: 89.8956
Epoch 210/300, Top 10% threshold: 90.8670
Epoch 211/300, Top 10% threshold: 90.1726
Epoch 212/300, Top 10% threshold: 89.8802
Epoch 213/300, Top 10% threshold: 90.4946
Epoch 214/300, Top 10% threshold: 90.8682
Epoch 215/300, Top 10% threshold: 90.3404
Epoch 216/300, Top 10% threshold: 90.6806
Epoch 217/300, Top 10% threshold: 91.0892
Epoch 218/300, Top 10% threshold: 90.1899
Epoch 219/300, Top 10% threshold: 89.9253
