Epoch 1/300, Train Loss: 1130.1131
Epoch 2/300, Train Loss: 165.2049
Epoch 3/300, Train Loss: 150.6404
Epoch 4/300, Train Loss: 138.1146
Epoch 5/300, Train Loss: 129.2171
Epoch 6/300, Train Loss: 125.6304
Epoch 7/300, Train Loss: 118.9308
Epoch 8/300, Train Loss: 111.1294
Epoch 9/300, Train Loss: 107.4864
Epoch 10/300, Train Loss: 102.6980
Epoch 11/300, Train Loss: 98.7920
Epoch 12/300, Train Loss: 96.7163
Epoch 13/300, Train Loss: 92.7446
Epoch 14/300, Train Loss: 89.5084
Epoch 15/300, Train Loss: 85.4874
Epoch 16/300, Train Loss: 82.5788
Epoch 17/300, Train Loss: 78.6273
Epoch 18/300, Train Loss: 75.5159
Epoch 19/300, Train Loss: 70.5005
Epoch 20/300, Train Loss: 67.1491
Epoch 21/300, Train Loss: 63.6556
Epoch 22/300, Train Loss: 59.9984
Epoch 23/300, Train Loss: 56.7401
Epoch 24/300, Train Loss: 52.9437
Epoch 25/300, Train Loss: 49.4507
Epoch 26/300, Train Loss: 46.7596
Epoch 27/300, Train Loss: 42.7727
Epoch 28/300, Train Loss: 40.2261
Epoch 29/300, Train Loss: 37.2949
Epoch 30/300, Train Loss: 34.1871
Epoch 31/300, Train Loss: 32.1629
Epoch 32/300, Train Loss: 28.8226
Epoch 33/300, Train Loss: 26.4925
Epoch 34/300, Train Loss: 24.4395
Epoch 35/300, Train Loss: 22.5874
Epoch 36/300, Train Loss: 20.5382
Epoch 37/300, Train Loss: 18.5943
Epoch 38/300, Train Loss: 16.7021
Epoch 39/300, Train Loss: 15.2009
Epoch 40/300, Train Loss: 13.9989
Epoch 41/300, Train Loss: 12.6046
Epoch 42/300, Train Loss: 11.3307
Epoch 43/300, Train Loss: 10.2980
Epoch 44/300, Train Loss: 9.1889
Epoch 45/300, Train Loss: 8.3024
Epoch 46/300, Train Loss: 7.6384
Epoch 47/300, Train Loss: 6.8904
Epoch 48/300, Train Loss: 6.2243
Epoch 49/300, Train Loss: 5.6603
Epoch 50/300, Train Loss: 5.2164
Epoch 51/300, Train Loss: 4.9298
Epoch 52/300, Train Loss: 4.5498
Epoch 53/300, Train Loss: 4.2855
Epoch 54/300, Train Loss: 4.0449
Epoch 55/300, Train Loss: 3.9112
Epoch 56/300, Train Loss: 3.7170
Epoch 57/300, Train Loss: 3.6334
Epoch 58/300, Train Loss: 3.5217
Epoch 59/300, Train Loss: 3.4558
Epoch 60/300, Train Loss: 3.3583
Epoch 61/300, Train Loss: 3.3391
Epoch 62/300, Train Loss: 3.2653
Epoch 63/300, Train Loss: 3.2236
Epoch 64/300, Train Loss: 3.2189
Epoch 65/300, Train Loss: 3.2289
Epoch 66/300, Train Loss: 3.1984
Epoch 67/300, Train Loss: 3.1826
Epoch 68/300, Train Loss: 3.1956
Epoch 69/300, Train Loss: 3.2183
Epoch 70/300, Train Loss: 3.1921
Epoch 71/300, Train Loss: 3.1657
Epoch 72/300, Train Loss: 3.1582
Epoch 73/300, Train Loss: 3.1772
Epoch 74/300, Train Loss: 3.1795
Epoch 75/300, Train Loss: 3.1511
Epoch 76/300, Train Loss: 3.1814
Epoch 77/300, Train Loss: 3.1498
Epoch 78/300, Train Loss: 3.1368
Epoch 79/300, Train Loss: 3.1541
Epoch 80/300, Train Loss: 3.1621
Epoch 81/300, Train Loss: 3.1591
Epoch 82/300, Train Loss: 3.1476
Epoch 83/300, Train Loss: 3.1211
Epoch 84/300, Train Loss: 3.1441
Epoch 85/300, Train Loss: 3.1107
Epoch 86/300, Train Loss: 3.1598
Epoch 87/300, Train Loss: 3.1468
Epoch 88/300, Train Loss: 3.1705
Epoch 89/300, Train Loss: 3.1422
Epoch 90/300, Train Loss: 3.1264
Epoch 91/300, Train Loss: 3.1289
Epoch 92/300, Train Loss: 3.1495
Epoch 93/300, Train Loss: 3.1173
Epoch 94/300, Train Loss: 3.1123
Epoch 95/300, Train Loss: 3.1208
Epoch 96/300, Train Loss: 3.1430
Epoch 97/300, Train Loss: 3.1469
Epoch 98/300, Train Loss: 3.1207
Epoch 99/300, Train Loss: 3.1433
Epoch 100/300, Train Loss: 3.1293
Epoch 101/300, Train Loss: 3.1072
Epoch 102/300, Train Loss: 3.1210
Epoch 103/300, Train Loss: 3.1234
Epoch 104/300, Train Loss: 3.1393
Epoch 105/300, Train Loss: 3.1257
Epoch 106/300, Train Loss: 3.1456
Epoch 107/300, Train Loss: 3.1231
Epoch 108/300, Train Loss: 3.0844
Epoch 109/300, Train Loss: 3.1163
Epoch 110/300, Train Loss: 3.1202
Epoch 111/300, Train Loss: 3.1104
Epoch 112/300, Train Loss: 3.1282
Epoch 113/300, Train Loss: 3.1136
Epoch 114/300, Train Loss: 3.0991
Epoch 115/300, Train Loss: 3.1065
Epoch 116/300, Train Loss: 3.1396
Epoch 117/300, Train Loss: 3.1256
Epoch 118/300, Train Loss: 3.1141
Epoch 119/300, Train Loss: 3.1221
Epoch 120/300, Train Loss: 3.1183
Epoch 121/300, Train Loss: 3.1085
Epoch 122/300, Train Loss: 3.0947
Epoch 123/300, Train Loss: 3.1051
Epoch 124/300, Train Loss: 3.1157
Epoch 125/300, Train Loss: 3.1345
Epoch 126/300, Train Loss: 3.1078
Epoch 127/300, Train Loss: 3.1318
Epoch 128/300, Train Loss: 3.0947
Epoch 129/300, Train Loss: 3.0828
Epoch 130/300, Train Loss: 3.0983
Epoch 131/300, Train Loss: 3.1139
Epoch 132/300, Train Loss: 3.1156
Epoch 133/300, Train Loss: 3.1022
Epoch 134/300, Train Loss: 3.1117
Epoch 135/300, Train Loss: 3.1236
Epoch 136/300, Train Loss: 3.1207
Epoch 137/300, Train Loss: 3.1055
Epoch 138/300, Train Loss: 3.1104
Epoch 139/300, Train Loss: 3.0988
Epoch 140/300, Train Loss: 3.1256
Epoch 141/300, Train Loss: 3.1203
Epoch 142/300, Train Loss: 3.0782
Epoch 143/300, Train Loss: 3.0997
Epoch 144/300, Train Loss: 3.1149
Epoch 145/300, Train Loss: 3.1035
Epoch 146/300, Train Loss: 3.1251
Epoch 147/300, Train Loss: 3.1056
Epoch 148/300, Train Loss: 3.0821
Epoch 149/300, Train Loss: 3.0942
Epoch 150/300, Train Loss: 3.1011
Epoch 151/300, Train Loss: 3.0797
Epoch 152/300, Train Loss: 3.1096
Epoch 153/300, Train Loss: 3.0837
Epoch 154/300, Train Loss: 3.1018
Epoch 155/300, Train Loss: 3.1025
Epoch 156/300, Train Loss: 3.0916
Epoch 157/300, Train Loss: 3.1000
Epoch 158/300, Train Loss: 3.0966
Epoch 159/300, Train Loss: 3.0773
Epoch 160/300, Train Loss: 3.1214
Epoch 161/300, Train Loss: 3.0808
