ID,y
TEST_0000,84.31195
TEST_0001,82.63643
TEST_0002,91.659225
TEST_0003,92.16522
TEST_0004,82.657486
TEST_0005,82.67157
TEST_0006,82.781906
TEST_0007,82.663506
TEST_0008,91.212
TEST_0009,82.6517
TEST_0010,84.08414
TEST_0011,82.87868
TEST_0012,83.28193
TEST_0013,83.8095
TEST_0014,82.89164
TEST_0015,94.22273
TEST_0016,85.860886
TEST_0017,83.67161
TEST_0018,83.17255
TEST_0019,90.89517
TEST_0020,85.064545
TEST_0021,82.489784
TEST_0022,90.24963
TEST_0023,83.025345
TEST_0024,85.71123
TEST_0025,83.83311
TEST_0026,91.18201
TEST_0027,82.4443
TEST_0028,83.99307
TEST_0029,86.16246
TEST_0030,83.65697
TEST_0031,82.80461
TEST_0032,83.8105
TEST_0033,83.055435
TEST_0034,83.94554
TEST_0035,84.144455
TEST_0036,83.30388
TEST_0037,92.54295
TEST_0038,82.578445
TEST_0039,84.45564
TEST_0040,90.24093
TEST_0041,84.38368
TEST_0042,83.33659
TEST_0043,82.82394
TEST_0044,85.65384
TEST_0045,82.12877
TEST_0046,82.1121
TEST_0047,82.33629
TEST_0048,90.248245
TEST_0049,84.141556
TEST_0050,83.10275
TEST_0051,82.26191
TEST_0052,82.50953
TEST_0053,82.45389
TEST_0054,84.146675
TEST_0055,83.57461
TEST_0056,90.66368
TEST_0057,93.23595
TEST_0058,91.1539
TEST_0059,82.71275
TEST_0060,91.538635
TEST_0061,84.59182
TEST_0062,83.28253
TEST_0063,91.39046
TEST_0064,84.513336
TEST_0065,91.08612
TEST_0066,84.45768
TEST_0067,91.73771
TEST_0068,82.939964
TEST_0069,85.448395
TEST_0070,82.73428
TEST_0071,86.45944
TEST_0072,83.315994
TEST_0073,83.79461
TEST_0074,82.54953
TEST_0075,84.39824
TEST_0076,89.948425
TEST_0077,83.63791
TEST_0078,82.72
TEST_0079,85.2363
TEST_0080,83.796745
TEST_0081,84.27547
TEST_0082,91.239624
TEST_0083,82.99701
TEST_0084,91.02963
TEST_0085,93.24929
