ID,y
TEST_0000,83.8353
TEST_0001,81.98658
TEST_0002,90.14073
TEST_0003,91.26435
TEST_0004,82.239555
TEST_0005,82.31413
TEST_0006,82.35528
TEST_0007,82.31173
TEST_0008,90.19969
TEST_0009,82.30603
TEST_0010,83.48095
TEST_0011,82.21777
TEST_0012,82.70116
TEST_0013,83.33224
TEST_0014,82.31408
TEST_0015,94.054054
TEST_0016,85.420906
TEST_0017,83.4265
TEST_0018,82.48712
TEST_0019,89.668144
TEST_0020,84.64376
TEST_0021,81.92717
TEST_0022,89.0152
TEST_0023,82.4696
TEST_0024,85.059395
TEST_0025,83.39869
TEST_0026,90.09948
TEST_0027,82.11504
TEST_0028,83.56823
TEST_0029,85.630104
TEST_0030,83.381
TEST_0031,82.19133
TEST_0032,83.2541
TEST_0033,82.54369
TEST_0034,83.01689
TEST_0035,83.59374
TEST_0036,82.71871
TEST_0037,91.29792
TEST_0038,82.061226
TEST_0039,84.028206
TEST_0040,89.10935
TEST_0041,84.00128
TEST_0042,82.91606
TEST_0043,82.26331
TEST_0044,85.193565
TEST_0045,81.96145
TEST_0046,81.90776
TEST_0047,81.992035
TEST_0048,89.013664
TEST_0049,83.35026
TEST_0050,82.28364
TEST_0051,82.04586
TEST_0052,81.982796
TEST_0053,82.13988
TEST_0054,83.457565
TEST_0055,83.35796
TEST_0056,89.42817
TEST_0057,92.973274
TEST_0058,89.79857
TEST_0059,82.241
TEST_0060,90.24391
TEST_0061,84.07048
TEST_0062,82.71946
TEST_0063,89.897285
TEST_0064,84.055695
TEST_0065,90.1875
TEST_0066,83.69532
TEST_0067,90.59565
TEST_0068,82.2771
TEST_0069,84.842
TEST_0070,82.16541
TEST_0071,86.0162
TEST_0072,82.94708
TEST_0073,83.10005
TEST_0074,82.18723
TEST_0075,84.0951
TEST_0076,88.873604
TEST_0077,83.02765
TEST_0078,82.052185
TEST_0079,84.572334
TEST_0080,83.176994
TEST_0081,83.89799
TEST_0082,89.75071
TEST_0083,82.595764
TEST_0084,89.68884
TEST_0085,93.21183
TEST_0086,93.825424
TEST_0087,82.05173
TEST_0088,82.03231
TEST_0089,82.12388
TEST_0090,83.13436
TEST_0091,82.26844
TEST_0092,83.760704
TEST_0093,82.187836
TEST_0094,82.656715
TEST_0095,85.27999
TEST_0096,90.83063
TEST_0097,82.44763
TEST_0098,89.54044
TEST_0099,84.39936
TEST_0100,81.70059
TEST_0101,82.12222
TEST_0102,82.46804
TEST_0103,91.40614
TEST_0104,87.34302
TEST_0105,82.37992
TEST_0106,88.02363
TEST_0107,91.51771
TEST_0108,91.53766
TEST_0109,83.32826
TEST_0110,82.08823
TEST_0111,81.9896
TEST_0112,82.36632
TEST_0113,82.89462
TEST_0114,82.3654
TEST_0115,82.57117
TEST_0116,82.09805
TEST_0117,89.13448
TEST_0118,82.28808
TEST_0119,82.179794
TEST_0120,82.3722
TEST_0121,91.06317
TEST_0122,93.22243
TEST_0123,91.29496
TEST_0124,82.364815
TEST_0125,92.04447
TEST_0126,88.962845
TEST_0127,82.6173
TEST_0128,82.26075
TEST_0129,82.92504
TEST_0130,92.60418
TEST_0131,90.69174
TEST_0132,81.913086
TEST_0133,89.5338
TEST_0134,84.75613
TEST_0135,83.10089
TEST_0136,82.10542
TEST_0137,82.73635
TEST_0138,81.9826
TEST_0139,83.72739
TEST_0140,82.44591
TEST_0141,84.04392
TEST_0142,90.218956
TEST_0143,93.21603
TEST_0144,82.11293
TEST_0145,82.027596
TEST_0146,82.438255
TEST_0147,82.24154
TEST_0148,82.060585
TEST_0149,81.93056
TEST_0150,84.03706
TEST_0151,81.94852
TEST_0152,82.15272
TEST_0153,82.04761
TEST_0154,82.62143
TEST_0155,86.85459
TEST_0156,82.43389
TEST_0157,83.73087
TEST_0158,82.35267
TEST_0159,89.84449
TEST_0160,84.604965
TEST_0161,93.919495
TEST_0162,82.15177
TEST_0163,89.92489
TEST_0164,81.94131
TEST_0165,82.24098
TEST_0166,90.73269
TEST_0167,91.594826
TEST_0168,82.108505
TEST_0169,82.2657
TEST_0170,89.19793
TEST_0171,82.05153
TEST_0172,81.897606
TEST_0173,84.64025
TEST_0174,82.32022
TEST_0175,93.269325
TEST_0176,84.323395
TEST_0177,84.994865
TEST_0178,82.49521
TEST_0179,82.099884
TEST_0180,93.7505
TEST_0181,89.54626
TEST_0182,87.633804
TEST_0183,85.16412
TEST_0184,81.71582
TEST_0185,82.67475
TEST_0186,82.00169
TEST_0187,82.22897
TEST_0188,85.617516
TEST_0189,83.31046
TEST_0190,83.43732
TEST_0191,82.25871
TEST_0192,83.67489
TEST_0193,82.17298
TEST_0194,82.53629
TEST_0195,83.02356
TEST_0196,82.081215
TEST_0197,92.07457
TEST_0198,81.989815
TEST_0199,82.12105
TEST_0200,86.09727
TEST_0201,83.46786
TEST_0202,92.7408
TEST_0203,92.830505
TEST_0204,87.19713
TEST_0205,88.34966
TEST_0206,85.06443
TEST_0207,92.18172
TEST_0208,92.02767
TEST_0209,82.4391
TEST_0210,82.22846
TEST_0211,91.31507
TEST_0212,90.78717
TEST_0213,85.17187
TEST_0214,82.47612
TEST_0215,87.641594
TEST_0216,89.72331
TEST_0217,83.710495
TEST_0218,90.758606
TEST_0219,82.50724
TEST_0220,84.70574
TEST_0221,81.93439
TEST_0222,82.47298
TEST_0223,82.05946
TEST_0224,92.63368
TEST_0225,82.22807
TEST_0226,83.49629
TEST_0227,82.42493
TEST_0228,89.939064
TEST_0229,82.76002
TEST_0230,85.40268
TEST_0231,86.24112
TEST_0232,84.92097
TEST_0233,81.9023
TEST_0234,81.92461
TEST_0235,82.40533
TEST_0236,82.14202
TEST_0237,90.76536
TEST_0238,85.30449
TEST_0239,82.057014
TEST_0240,82.91541
TEST_0241,91.066025
TEST_0242,84.44873
TEST_0243,82.330605
TEST_0244,93.17138
TEST_0245,83.58312
TEST_0246,83.22677
TEST_0247,91.123535
TEST_0248,84.83874
TEST_0249,82.471596
TEST_0250,82.14314
TEST_0251,83.24198
TEST_0252,81.91131
TEST_0253,85.94804
TEST_0254,92.59976
TEST_0255,81.82831
TEST_0256,82.88381
TEST_0257,82.183105
TEST_0258,81.913414
TEST_0259,91.50279
TEST_0260,82.591866
TEST_0261,82.39764
TEST_0262,87.82182
TEST_0263,83.03215
TEST_0264,82.53292
TEST_0265,83.1338
TEST_0266,82.43768
TEST_0267,86.2826
TEST_0268,82.00174
TEST_0269,81.92492
TEST_0270,81.92406
TEST_0271,83.605705
