ID,y
TEST_0000,83.760025
TEST_0001,82.06652
TEST_0002,90.87147
TEST_0003,91.59801
TEST_0004,82.329605
TEST_0005,82.51043
TEST_0006,82.33808
TEST_0007,82.39228
TEST_0008,90.42473
TEST_0009,82.47098
TEST_0010,83.60256
TEST_0011,82.51546
TEST_0012,83.15047
TEST_0013,83.4734
TEST_0014,82.449814
TEST_0015,93.7259
TEST_0016,85.65784
TEST_0017,83.22292
TEST_0018,82.82455
TEST_0019,90.43902
TEST_0020,84.75068
TEST_0021,81.98063
TEST_0022,89.66827
TEST_0023,82.635956
TEST_0024,85.17854
TEST_0025,83.54702
TEST_0026,90.641594
TEST_0027,82.0524
TEST_0028,83.63853
TEST_0029,85.61356
TEST_0030,83.4323
TEST_0031,82.55892
TEST_0032,83.22212
TEST_0033,82.63819
TEST_0034,83.34029
TEST_0035,83.68104
TEST_0036,82.90171
TEST_0037,91.81089
TEST_0038,81.99863
TEST_0039,84.10112
TEST_0040,89.46491
TEST_0041,83.86323
TEST_0042,83.04691
TEST_0043,82.513954
TEST_0044,85.107056
TEST_0045,81.79298
TEST_0046,81.7773
TEST_0047,81.7774
TEST_0048,89.51916
TEST_0049,83.58619
TEST_0050,82.62847
TEST_0051,81.92073
TEST_0052,82.24253
TEST_0053,81.99227
TEST_0054,83.78325
TEST_0055,83.464775
TEST_0056,90.03863
TEST_0057,92.82929
TEST_0058,90.10113
TEST_0059,82.19667
TEST_0060,90.71905
TEST_0061,84.14014
TEST_0062,82.757034
TEST_0063,90.41877
TEST_0064,84.12728
TEST_0065,90.37987
TEST_0066,84.01855
TEST_0067,91.01852
TEST_0068,82.49287
TEST_0069,84.82798
TEST_0070,82.06873
TEST_0071,85.99447
TEST_0072,83.06927
TEST_0073,83.48209
TEST_0074,82.202675
TEST_0075,84.0942
TEST_0076,89.41036
TEST_0077,83.29399
TEST_0078,82.17194
TEST_0079,84.6992
TEST_0080,83.26063
TEST_0081,84.03195
TEST_0082,90.160866
TEST_0083,82.61181
TEST_0084,90.15089
TEST_0085,92.7346
TEST_0086,93.664
TEST_0087,82.06231
TEST_0088,81.90915
TEST_0089,82.13604
TEST_0090,83.353386
TEST_0091,82.406364
TEST_0092,83.660194
TEST_0093,82.351265
TEST_0094,82.6773
TEST_0095,85.19104
TEST_0096,91.01766
TEST_0097,82.72688
TEST_0098,90.21397
TEST_0099,84.34016
TEST_0100,81.54693
TEST_0101,81.940956
TEST_0102,82.79
TEST_0103,91.89272
TEST_0104,87.621254
TEST_0105,82.80892
TEST_0106,88.471565
TEST_0107,91.85792
TEST_0108,91.94941
TEST_0109,83.35267
TEST_0110,82.11683
TEST_0111,82.01551
TEST_0112,82.43951
TEST_0113,83.20203
TEST_0114,82.6103
TEST_0115,82.94945
TEST_0116,82.459785
TEST_0117,89.94404
TEST_0118,82.372925
TEST_0119,82.174385
TEST_0120,82.8155
TEST_0121,91.30537
TEST_0122,93.505394
TEST_0123,91.6117
TEST_0124,82.560455
TEST_0125,92.1296
TEST_0126,89.26191
TEST_0127,82.95603
TEST_0128,82.24531
TEST_0129,83.32098
TEST_0130,91.898605
TEST_0131,91.51409
TEST_0132,82.10464
TEST_0133,90.27352
TEST_0134,84.57324
TEST_0135,83.31417
TEST_0136,82.179535
TEST_0137,83.23096
TEST_0138,81.90621
TEST_0139,83.84111
TEST_0140,82.917946
TEST_0141,84.05074
TEST_0142,90.62185
TEST_0143,92.61277
TEST_0144,82.32836
TEST_0145,82.0237
TEST_0146,82.430565
TEST_0147,82.40136
TEST_0148,82.02592
TEST_0149,82.1854
TEST_0150,84.06545
TEST_0151,82.19424
TEST_0152,82.27462
TEST_0153,82.006454
TEST_0154,82.91712
TEST_0155,86.91844
TEST_0156,82.68203
TEST_0157,83.848
TEST_0158,82.64087
TEST_0159,90.38259
TEST_0160,84.62629
TEST_0161,93.447
TEST_0162,82.26371
TEST_0163,90.55282
TEST_0164,81.94982
TEST_0165,82.44996
TEST_0166,91.46366
TEST_0167,92.009636
TEST_0168,82.253975
TEST_0169,82.56467
TEST_0170,89.65157
TEST_0171,81.88921
TEST_0172,81.90205
TEST_0173,84.57249
TEST_0174,82.46495
TEST_0175,92.80594
TEST_0176,84.26259
TEST_0177,85.05735
TEST_0178,82.6502
TEST_0179,82.15246
TEST_0180,93.26224
TEST_0181,90.04081
TEST_0182,87.88906
TEST_0183,85.24249
TEST_0184,81.60305
TEST_0185,82.782135
TEST_0186,81.64043
TEST_0187,82.20995
TEST_0188,85.67722
TEST_0189,83.36785
TEST_0190,83.50059
TEST_0191,82.40694
TEST_0192,83.6346
TEST_0193,82.35688
TEST_0194,82.62141
TEST_0195,83.137886
TEST_0196,81.87693
TEST_0197,91.99145
TEST_0198,81.85091
TEST_0199,82.25364
TEST_0200,86.18774
TEST_0201,83.45042
TEST_0202,92.623055
TEST_0203,92.377495
TEST_0204,87.66201
TEST_0205,88.75712
TEST_0206,85.39579
TEST_0207,92.35533
TEST_0208,92.15487
TEST_0209,82.64197
TEST_0210,82.45344
TEST_0211,91.41136
TEST_0212,91.44706
TEST_0213,85.158134
TEST_0214,82.76847
TEST_0215,87.92817
TEST_0216,90.25944
TEST_0217,83.67979
TEST_0218,91.29105
TEST_0219,82.6526
TEST_0220,84.60079
TEST_0221,81.54936
TEST_0222,82.42678
TEST_0223,82.39073
TEST_0224,92.43723
TEST_0225,82.53624
TEST_0226,83.53538
TEST_0227,82.50191
TEST_0228,90.4118
TEST_0229,82.71732
TEST_0230,85.58236
TEST_0231,86.39829
TEST_0232,84.92861
TEST_0233,81.724075
TEST_0234,81.7416
TEST_0235,82.33466
TEST_0236,82.44462
TEST_0237,91.13884
TEST_0238,85.11943
TEST_0239,82.018074
TEST_0240,83.056274
TEST_0241,91.425026
TEST_0242,84.464966
TEST_0243,82.62509
TEST_0244,92.757065
TEST_0245,83.42596
TEST_0246,83.24926
TEST_0247,91.16314
TEST_0248,84.969826
TEST_0249,82.645546
TEST_0250,82.1701
TEST_0251,83.1923
TEST_0252,81.773964
TEST_0253,86.117966
TEST_0254,92.08643
TEST_0255,81.661934
TEST_0256,82.90699
TEST_0257,82.35993
TEST_0258,81.75938
TEST_0259,91.6058
TEST_0260,82.9688
TEST_0261,82.39233
TEST_0262,88.02271
TEST_0263,83.008415
TEST_0264,82.744156
TEST_0265,83.19242
TEST_0266,82.58386
TEST_0267,86.118065
TEST_0268,81.895355
TEST_0269,81.7318
TEST_0270,82.17251
TEST_0271,83.57937
TEST_0272,84.77676
TEST_0273,82.40986
TEST_0274,85.41451
TEST_0275,82.049324
TEST_0276,83.24189
TEST_0277,82.14185
TEST_0278,83.30297
TEST_0279,82.0908
TEST_0280,82.34121
TEST_0281,83.15246
TEST_0282,81.922325
TEST_0283,82.114006
TEST_0284,82.12386
TEST_0285,82.45272
TEST_0286,85.02197
TEST_0287,81.96139
TEST_0288,87.828354
TEST_0289,87.124405
TEST_0290,82.156654
TEST_0291,90.85271
TEST_0292,82.90609
TEST_0293,86.26917
TEST_0294,81.90518
TEST_0295,84.433945
TEST_0296,83.02669
TEST_0297,82.310104
TEST_0298,89.382545
TEST_0299,92.13294
TEST_0300,81.8509
TEST_0301,85.003
TEST_0302,88.79951
TEST_0303,83.09388
TEST_0304,82.70246
TEST_0305,83.088
TEST_0306,90.736336
TEST_0307,81.79177
TEST_0308,85.74883
TEST_0309,92.83606
TEST_0310,82.211716
TEST_0311,90.909004
TEST_0312,83.70449
TEST_0313,92.192894
TEST_0314,84.77336
TEST_0315,85.57191
TEST_0316,81.75262
TEST_0317,83.14713
TEST_0318,83.94688
TEST_0319,84.026695
TEST_0320,91.48635
TEST_0321,82.53246
TEST_0322,83.64797
TEST_0323,82.50744
TEST_0324,83.31313
TEST_0325,82.19048
TEST_0326,92.10009
TEST_0327,82.98798
TEST_0328,82.2472
TEST_0329,83.08224
TEST_0330,82.56427
TEST_0331,82.82551
TEST_0332,82.77368
TEST_0333,82.325905
TEST_0334,82.24732
TEST_0335,83.94169
TEST_0336,81.7539
TEST_0337,82.76322
TEST_0338,82.70658
TEST_0339,82.22259
TEST_0340,83.735825
TEST_0341,89.41099
TEST_0342,83.0172
TEST_0343,84.341354
TEST_0344,82.64512
TEST_0345,88.15137
TEST_0346,82.81878
TEST_0347,91.8004
TEST_0348,84.163345
TEST_0349,83.40591
TEST_0350,82.481186
TEST_0351,84.80506
TEST_0352,83.68991
TEST_0353,82.73722
TEST_0354,82.495995
TEST_0355,90.381065
TEST_0356,82.51184
TEST_0357,82.01914
TEST_0358,82.09159
TEST_0359,83.783325
TEST_0360,81.95742
TEST_0361,92.68685
TEST_0362,82.95821
