ID,y
TEST_0000,82.947365
TEST_0001,81.59117
TEST_0002,90.11357
TEST_0003,90.535034
TEST_0004,81.51246
TEST_0005,81.658066
TEST_0006,81.43175
TEST_0007,81.47603
TEST_0008,89.79954
TEST_0009,81.540215
TEST_0010,82.78455
TEST_0011,81.8849
TEST_0012,82.106026
TEST_0013,82.6495
TEST_0014,81.585304
TEST_0015,92.46519
TEST_0016,84.83298
TEST_0017,82.44099
TEST_0018,81.98259
TEST_0019,89.75736
TEST_0020,83.88458
TEST_0021,81.414635
TEST_0022,88.81511
TEST_0023,81.63941
TEST_0024,84.30154
TEST_0025,82.78296
TEST_0026,89.97891
TEST_0027,81.298065
TEST_0028,82.82722
TEST_0029,84.8643
TEST_0030,82.615036
TEST_0031,81.91694
TEST_0032,82.43113
TEST_0033,81.73193
TEST_0034,82.261925
TEST_0035,82.821495
TEST_0036,81.96088
TEST_0037,90.63891
TEST_0038,81.292114
TEST_0039,83.36
TEST_0040,88.88999
TEST_0041,83.03546
TEST_0042,82.2293
TEST_0043,81.8081
TEST_0044,84.275024
TEST_0045,81.12139
TEST_0046,81.087234
TEST_0047,81.21359
TEST_0048,88.726006
TEST_0049,82.70827
TEST_0050,81.94966
TEST_0051,81.10088
TEST_0052,81.74067
TEST_0053,81.155685
TEST_0054,82.832565
TEST_0055,82.66156
TEST_0056,89.25281
TEST_0057,91.68272
TEST_0058,89.543724
TEST_0059,81.378426
TEST_0060,90.009995
TEST_0061,83.36029
TEST_0062,81.85754
TEST_0063,89.75039
TEST_0064,83.25751
TEST_0065,89.755974
TEST_0066,83.117455
TEST_0067,90.0639
TEST_0068,81.74194
TEST_0069,83.97447
TEST_0070,81.335724
TEST_0071,85.26847
TEST_0072,82.19671
TEST_0073,82.55465
TEST_0074,81.328026
TEST_0075,83.3536
TEST_0076,88.6092
TEST_0077,82.36644
TEST_0078,81.52993
TEST_0079,83.84451
TEST_0080,82.35425
TEST_0081,83.27781
TEST_0082,89.56037
TEST_0083,81.607185
TEST_0084,89.64077
TEST_0085,91.70929
TEST_0086,92.374535
TEST_0087,81.40309
TEST_0088,81.19194
TEST_0089,81.38863
TEST_0090,82.46691
