ID,y
TEST_0000,83.59631
TEST_0001,81.876366
TEST_0002,90.59564
TEST_0003,90.927055
TEST_0004,82.08483
TEST_0005,82.23385
TEST_0006,82.13499
TEST_0007,82.15752
TEST_0008,90.08341
TEST_0009,82.22806
TEST_0010,83.447586
TEST_0011,82.27216
TEST_0012,82.884346
TEST_0013,83.26571
TEST_0014,82.19581
TEST_0015,93.00324
TEST_0016,85.40765
TEST_0017,83.064095
TEST_0018,82.55585
TEST_0019,90.10287
TEST_0020,84.561424
TEST_0021,81.78454
TEST_0022,89.18754
TEST_0023,82.393265
TEST_0024,84.94583
TEST_0025,83.37032
TEST_0026,90.20606
TEST_0027,81.9316
TEST_0028,83.39892
TEST_0029,85.33422
TEST_0030,83.24059
TEST_0031,82.263084
TEST_0032,83.074524
TEST_0033,82.41473
TEST_0034,83.14795
TEST_0035,83.566154
TEST_0036,82.67123
TEST_0037,91.21121
TEST_0038,81.80297
TEST_0039,83.88458
TEST_0040,89.17844
TEST_0041,83.70113
TEST_0042,82.82236
TEST_0043,82.255844
TEST_0044,84.8704
TEST_0045,81.64417
TEST_0046,81.68013
TEST_0047,81.743286
TEST_0048,89.07553
TEST_0049,83.43796
TEST_0050,82.372856
TEST_0051,81.7983
TEST_0052,82.028595
TEST_0053,81.8569
TEST_0054,83.61283
TEST_0055,83.2255
TEST_0056,89.68088
TEST_0057,92.095436
TEST_0058,89.95677
TEST_0059,81.99897
TEST_0060,90.5549
TEST_0061,83.98083
TEST_0062,82.57821
TEST_0063,90.15034
TEST_0064,83.94481
TEST_0065,90.01498
TEST_0066,83.85601
TEST_0067,90.5373
TEST_0068,82.234474
TEST_0069,84.61675
TEST_0070,81.96898
TEST_0071,85.672676
TEST_0072,82.88871
TEST_0073,83.23507
TEST_0074,81.97615
TEST_0075,83.84199
TEST_0076,88.95588
TEST_0077,83.06963
TEST_0078,81.940865
TEST_0079,84.51549
TEST_0080,83.140724
TEST_0081,83.77665
TEST_0082,89.98597
TEST_0083,82.39251
TEST_0084,89.936424
TEST_0085,91.98433
TEST_0086,92.895905
TEST_0087,81.90841
