ID,y
TEST_0000,82.35593
TEST_0001,80.858604
TEST_0002,89.065865
TEST_0003,89.38582
TEST_0004,80.93205
TEST_0005,81.104195
TEST_0006,80.8843
TEST_0007,80.93673
TEST_0008,88.49704
TEST_0009,81.010605
TEST_0010,82.12601
TEST_0011,81.23949
TEST_0012,81.70955
TEST_0013,81.941315
TEST_0014,81.05208
TEST_0015,91.3614
TEST_0016,84.15219
TEST_0017,81.77657
TEST_0018,81.46014
TEST_0019,88.76072
TEST_0020,83.23248
TEST_0021,80.71303
TEST_0022,87.938
TEST_0023,81.177414
TEST_0024,83.77327
TEST_0025,82.11224
TEST_0026,88.7162
TEST_0027,80.66576
TEST_0028,82.21817
TEST_0029,84.23737
TEST_0030,81.95379
TEST_0031,81.29717
TEST_0032,81.725266
TEST_0033,81.140236
TEST_0034,81.80986
TEST_0035,82.165054
TEST_0036,81.404816
TEST_0037,89.575745
TEST_0038,80.65975
TEST_0039,82.75247
TEST_0040,87.94759
TEST_0041,82.408905
TEST_0042,81.59555
TEST_0043,81.18149
TEST_0044,83.688965
TEST_0045,80.47624
TEST_0046,80.45584
TEST_0047,80.48686
TEST_0048,87.83554
TEST_0049,82.08123
TEST_0050,81.35455
TEST_0051,80.52614
TEST_0052,81.05415
TEST_0053,80.57442
TEST_0054,82.19497
TEST_0055,82.02341
TEST_0056,88.324875
TEST_0057,90.534164
TEST_0058,88.43748
TEST_0059,80.82764
TEST_0060,88.91385
TEST_0061,82.71455
TEST_0062,81.24572
TEST_0063,88.760895
TEST_0064,82.6334
TEST_0065,88.426094
TEST_0066,82.44693
TEST_0067,88.96121
TEST_0068,81.1358
TEST_0069,83.432
TEST_0070,80.71947
TEST_0071,84.58541
TEST_0072,81.50679
TEST_0073,81.89917
TEST_0074,80.76222
TEST_0075,82.70691
TEST_0076,87.68943
TEST_0077,81.71959
TEST_0078,80.881195
TEST_0079,83.26221
TEST_0080,81.65308
TEST_0081,82.60271
TEST_0082,88.518875
TEST_0083,81.12265
TEST_0084,88.50808
TEST_0085,90.3616
TEST_0086,91.23964
TEST_0087,80.7606
TEST_0088,80.56767
TEST_0089,80.753586
TEST_0090,81.80455
TEST_0091,81.069984
TEST_0092,82.2083
TEST_0093,81.01918
TEST_0094,81.18327
TEST_0095,83.85483
TEST_0096,88.943565
TEST_0097,81.35884
TEST_0098,88.46682
TEST_0099,82.995514
TEST_0100,80.33056
TEST_0101,80.57938
TEST_0102,81.40343
TEST_0103,89.71735
TEST_0104,86.06478
TEST_0105,81.44977
TEST_0106,86.85002
TEST_0107,89.65188
TEST_0108,89.77614
TEST_0109,81.96119
TEST_0110,80.82103
TEST_0111,80.74123
TEST_0112,81.0375
TEST_0113,81.74455
TEST_0114,81.27124
TEST_0115,81.57269
TEST_0116,81.24518
TEST_0117,88.1398
TEST_0118,80.99675
TEST_0119,80.77158
TEST_0120,81.53238
TEST_0121,89.16391
TEST_0122,91.08534
TEST_0123,89.406845
TEST_0124,81.134796
TEST_0125,89.86954
TEST_0126,87.8248
TEST_0127,81.57103
TEST_0128,80.85348
TEST_0129,81.8117
TEST_0130,89.68089
TEST_0131,89.40515
TEST_0132,80.89162
TEST_0133,88.64017
TEST_0134,83.24001
TEST_0135,81.74369
TEST_0136,80.93523
TEST_0137,81.803665
TEST_0138,80.51496
TEST_0139,82.408295
TEST_0140,81.55611
TEST_0141,82.62627
TEST_0142,88.65631
TEST_0143,90.299866
TEST_0144,81.036194
TEST_0145,80.68231
TEST_0146,80.976875
TEST_0147,81.04185
TEST_0148,80.69064
TEST_0149,81.00769
TEST_0150,82.711494
TEST_0151,80.96829
TEST_0152,80.95201
TEST_0153,80.73041
TEST_0154,81.48191
TEST_0155,85.437515
TEST_0156,81.314095
TEST_0157,82.331154
TEST_0158,81.3654
TEST_0159,88.66594
TEST_0160,83.26003
TEST_0161,91.12704
TEST_0162,81.0061
TEST_0163,88.844826
TEST_0164,80.70616
TEST_0165,81.167816
TEST_0166,89.357376
TEST_0167,89.86658
TEST_0168,80.9804
TEST_0169,81.28587
TEST_0170,88.1889
TEST_0171,80.58444
TEST_0172,80.54335
TEST_0173,83.20387
TEST_0174,81.15094
TEST_0175,90.40613
TEST_0176,82.84683
TEST_0177,83.67218
TEST_0178,81.21153
TEST_0179,80.862144
TEST_0180,90.82713
TEST_0181,88.46519
TEST_0182,86.34624
TEST_0183,83.82155
TEST_0184,80.41345
TEST_0185,81.35944
TEST_0186,80.2142
TEST_0187,80.81717
TEST_0188,84.22376
TEST_0189,81.8386
TEST_0190,81.98375
TEST_0191,81.04889
TEST_0192,82.30353
TEST_0193,81.08187
TEST_0194,81.17233
TEST_0195,81.522934
TEST_0196,80.476974
TEST_0197,89.74419
TEST_0198,80.52406
TEST_0199,80.90872
TEST_0200,84.71501
TEST_0201,82.03244
TEST_0202,90.38915
TEST_0203,90.06673
TEST_0204,86.136215
TEST_0205,87.11858
TEST_0206,83.91884
TEST_0207,90.08355
TEST_0208,89.94529
TEST_0209,81.2129
TEST_0210,81.12778
TEST_0211,89.1873
TEST_0212,89.32608
TEST_0213,83.74469
TEST_0214,81.387985
TEST_0215,86.44539
TEST_0216,88.648575
TEST_0217,82.29434
TEST_0218,89.21171
TEST_0219,81.23012
TEST_0220,83.16153
TEST_0221,80.14077
TEST_0222,80.95363
TEST_0223,81.166115
TEST_0224,90.11451
TEST_0225,81.227844
TEST_0226,82.036255
TEST_0227,81.04475
TEST_0228,88.69148
TEST_0229,81.15504
TEST_0230,84.17236
TEST_0231,84.95618
TEST_0232,83.47337
TEST_0233,80.42979
TEST_0234,80.40211
TEST_0235,80.89208
TEST_0236,81.18462
TEST_0237,89.05176
TEST_0238,83.69284
TEST_0239,80.65216
TEST_0240,81.53666
TEST_0241,89.32148
TEST_0242,83.03522
TEST_0243,81.31427
TEST_0244,90.3956
TEST_0245,82.075005
TEST_0246,81.74786
TEST_0247,89.039764
TEST_0248,83.613174
TEST_0249,81.256775
TEST_0250,80.80498
TEST_0251,81.75792
TEST_0252,80.484604
TEST_0253,84.67954
TEST_0254,89.82641
TEST_0255,80.3783
TEST_0256,81.53518
TEST_0257,81.04202
TEST_0258,80.542274
TEST_0259,89.4362
TEST_0260,81.49874
TEST_0261,80.90941
TEST_0262,86.518265
TEST_0263,81.57762
TEST_0264,81.314476
TEST_0265,81.63991
TEST_0266,81.247696
TEST_0267,84.69269
TEST_0268,80.50763
TEST_0269,80.41263
TEST_0270,81.030396
TEST_0271,82.06613
TEST_0272,83.238365
TEST_0273,81.19047
TEST_0274,83.91519
TEST_0275,80.79204
TEST_0276,81.67717
TEST_0277,80.91727
TEST_0278,81.74355
TEST_0279,80.90259
TEST_0280,80.98921
TEST_0281,81.684525
TEST_0282,80.74655
TEST_0283,80.96039
TEST_0284,80.71688
TEST_0285,81.087234
TEST_0286,83.606026
TEST_0287,80.651924
TEST_0288,86.33389
TEST_0289,85.60361
TEST_0290,80.772995
TEST_0291,88.78691
TEST_0292,81.6122
TEST_0293,84.86517
TEST_0294,80.61758
TEST_0295,83.08118
TEST_0296,81.4633
TEST_0297,81.026505
TEST_0298,87.90776
TEST_0299,89.964355
TEST_0300,80.632965
TEST_0301,83.54715
TEST_0302,87.17503
TEST_0303,81.65795
TEST_0304,81.27811
TEST_0305,81.632935
TEST_0306,88.760124
TEST_0307,80.42594
TEST_0308,84.38633
TEST_0309,90.483696
TEST_0310,80.82301
TEST_0311,88.91217
TEST_0312,82.27793
TEST_0313,89.94902
TEST_0314,83.34938
TEST_0315,84.13931
