ID,y
TEST_0000,83.70157
TEST_0001,81.958565
TEST_0002,90.807205
TEST_0003,91.078354
TEST_0004,82.179344
TEST_0005,82.3685
TEST_0006,82.225426
TEST_0007,82.255516
TEST_0008,90.092926
TEST_0009,82.31019
TEST_0010,83.57598
TEST_0011,82.38267
TEST_0012,82.935844
TEST_0013,83.40559
TEST_0014,82.28326
TEST_0015,93.48902
TEST_0016,85.48423
TEST_0017,83.05093
TEST_0018,82.67194
TEST_0019,90.43281
TEST_0020,84.61429
TEST_0021,81.81803
TEST_0022,89.52068
TEST_0023,82.576454
TEST_0024,85.067055
TEST_0025,83.41619
TEST_0026,90.27639
TEST_0027,81.96613
TEST_0028,83.55795
TEST_0029,85.44979
TEST_0030,83.274445
TEST_0031,82.46051
TEST_0032,83.095085
TEST_0033,82.51563
TEST_0034,83.2114
TEST_0035,83.55993
TEST_0036,82.80772
TEST_0037,91.34465
TEST_0038,81.8933
TEST_0039,83.93362
TEST_0040,89.54583
TEST_0041,83.71589
TEST_0042,82.97046
TEST_0043,82.41758
TEST_0044,84.91061
TEST_0045,81.74392
TEST_0046,81.68656
TEST_0047,81.76909
TEST_0048,89.36561
TEST_0049,83.44824
TEST_0050,82.48089
TEST_0051,81.75121
TEST_0052,82.11579
TEST_0053,81.904175
TEST_0054,83.70464
TEST_0055,83.27345
TEST_0056,90.077
TEST_0057,92.45582
TEST_0058,90.097496
TEST_0059,82.09961
TEST_0060,90.61905
TEST_0061,84.02056
TEST_0062,82.59921
TEST_0063,90.582436
TEST_0064,83.95465
TEST_0065,89.96476
TEST_0066,83.88618
TEST_0067,90.70246
TEST_0068,82.345345
TEST_0069,84.71125
TEST_0070,82.039246
TEST_0071,85.753624
TEST_0072,82.87086
TEST_0073,83.261986
TEST_0074,82.04586
TEST_0075,83.91228
TEST_0076,89.23177
TEST_0077,83.2049
TEST_0078,82.06752
TEST_0079,84.61993
TEST_0080,83.157814
TEST_0081,83.82375
TEST_0082,90.110405
TEST_0083,82.52656
TEST_0084,90.06985
TEST_0085,92.1697
TEST_0086,93.25359
TEST_0087,81.99653
TEST_0088,81.864235
TEST_0089,82.02064
TEST_0090,83.23339
TEST_0091,82.30076
TEST_0092,83.539635
TEST_0093,82.26478
TEST_0094,82.59972
TEST_0095,85.07226
TEST_0096,90.58177
TEST_0097,82.56211
TEST_0098,90.20484
TEST_0099,84.24224
TEST_0100,81.49659
TEST_0101,81.88232
TEST_0102,82.66338
