ID,y
TEST_0000,83.77631
TEST_0001,82.10592
TEST_0002,90.99831
TEST_0003,91.42702
TEST_0004,82.30984
TEST_0005,82.42356
TEST_0006,82.33025
TEST_0007,82.34792
TEST_0008,90.453415
TEST_0009,82.413734
TEST_0010,83.62158
TEST_0011,82.40055
TEST_0012,83.056595
TEST_0013,83.51238
TEST_0014,82.46202
TEST_0015,93.792854
TEST_0016,85.665794
TEST_0017,83.27107
TEST_0018,82.74615
TEST_0019,90.648674
TEST_0020,84.78545
TEST_0021,82.01885
TEST_0022,89.72111
TEST_0023,82.570076
TEST_0024,85.16567
TEST_0025,83.58074
TEST_0026,90.57557
TEST_0027,82.08167
TEST_0028,83.649506
TEST_0029,85.66334
TEST_0030,83.43647
TEST_0031,82.49412
TEST_0032,83.278114
TEST_0033,82.624306
TEST_0034,83.28226
TEST_0035,83.76754
TEST_0036,82.91532
TEST_0037,91.693596
TEST_0038,82.01595
TEST_0039,84.08501
TEST_0040,89.65459
TEST_0041,83.921555
TEST_0042,83.01745
TEST_0043,82.4647
TEST_0044,85.187996
TEST_0045,81.822174
TEST_0046,81.852806
TEST_0047,81.82414
TEST_0048,89.57708
TEST_0049,83.65337
TEST_0050,82.59781
TEST_0051,81.93714
TEST_0052,82.23551
TEST_0053,82.045395
TEST_0054,83.78848
TEST_0055,83.46996
TEST_0056,90.1395
TEST_0057,92.76592
TEST_0058,90.37287
TEST_0059,82.27796
TEST_0060,90.89351
TEST_0061,84.164734
TEST_0062,82.78947
TEST_0063,90.69048
TEST_0064,84.20147
TEST_0065,90.337296
TEST_0066,83.98634
TEST_0067,91.003746
TEST_0068,82.41619
TEST_0069,84.81101
TEST_0070,82.10961
TEST_0071,86.00428
TEST_0072,83.07295
TEST_0073,83.42425
TEST_0074,82.1659
TEST_0075,84.10163
TEST_0076,89.398964
TEST_0077,83.231346
TEST_0078,82.150314
TEST_0079,84.720665
TEST_0080,83.327545
TEST_0081,84.044044
TEST_0082,90.49105
TEST_0083,82.63897
TEST_0084,90.36144
TEST_0085,92.570175
TEST_0086,93.618996
TEST_0087,82.02722
TEST_0088,82.0149
TEST_0089,82.08628
TEST_0090,83.31127
TEST_0091,82.395805
TEST_0092,83.67715
TEST_0093,82.34792
TEST_0094,82.74451
TEST_0095,85.215065
