ID,y
TEST_0000,82.90278
TEST_0001,81.299774
TEST_0002,90.2283
TEST_0003,90.768166
TEST_0004,81.47999
TEST_0005,81.73096
TEST_0006,81.3913
TEST_0007,81.448944
TEST_0008,89.93324
TEST_0009,81.50949
TEST_0010,82.70242
TEST_0011,81.73634
TEST_0012,81.99474
TEST_0013,82.59956
TEST_0014,81.49823
TEST_0015,92.780304
TEST_0016,84.76996
TEST_0017,82.30165
TEST_0018,81.87522
TEST_0019,89.626465
TEST_0020,83.82274
TEST_0021,81.08115
TEST_0022,88.66226
TEST_0023,81.610565
TEST_0024,84.33296
TEST_0025,82.56485
TEST_0026,90.0828
TEST_0027,81.05119
TEST_0028,82.78514
TEST_0029,84.89303
TEST_0030,82.56467
TEST_0031,81.77856
TEST_0032,82.227196
TEST_0033,81.56436
TEST_0034,82.09253
TEST_0035,82.58301
TEST_0036,81.85181
TEST_0037,90.87203
TEST_0038,81.20212
TEST_0039,83.19886
TEST_0040,88.99866
TEST_0041,82.93271
TEST_0042,82.20409
TEST_0043,81.755875
TEST_0044,84.242386
TEST_0045,81.007065
TEST_0046,80.75542
TEST_0047,80.93553
TEST_0048,88.54877
TEST_0049,82.3849
TEST_0050,81.70035
TEST_0051,80.85715
TEST_0052,81.426056
TEST_0053,81.01348
TEST_0054,82.62923
TEST_0055,82.55409
TEST_0056,89.304924
TEST_0057,91.91243
TEST_0058,89.721344
TEST_0059,81.29927
TEST_0060,90.19452
TEST_0061,83.15584
TEST_0062,81.63535
TEST_0063,89.69713
TEST_0064,83.02779
TEST_0065,89.87062
TEST_0066,82.79556
TEST_0067,90.28067
TEST_0068,81.66351
TEST_0069,83.98753
TEST_0070,81.19212
TEST_0071,85.386856
TEST_0072,82.01927
TEST_0073,82.212814
TEST_0074,81.26204
TEST_0075,83.33008
TEST_0076,88.56646
TEST_0077,82.25253
TEST_0078,81.335724
TEST_0079,83.69028
TEST_0080,82.10629
TEST_0081,83.10164
TEST_0082,89.488396
TEST_0083,81.693985
TEST_0084,89.60034
TEST_0085,91.91058
TEST_0086,92.634125
TEST_0087,81.23099
TEST_0088,80.95166
TEST_0089,81.24481
TEST_0090,82.3226
TEST_0091,81.49884
TEST_0092,82.89331
TEST_0093,81.52887
TEST_0094,81.641464
TEST_0095,84.55473
TEST_0096,90.337265
TEST_0097,81.800766
TEST_0098,89.50396
TEST_0099,83.75462
TEST_0100,80.57721
TEST_0101,81.16059
TEST_0102,82.0038
TEST_0103,91.04211
TEST_0104,86.78493
TEST_0105,81.80481
TEST_0106,87.66494
TEST_0107,90.97655
TEST_0108,91.04334
TEST_0109,82.38404
TEST_0110,81.29616
