ID,y
TEST_0000,83.35943
TEST_0001,81.675575
TEST_0002,90.96656
TEST_0003,91.57928
TEST_0004,82.14849
TEST_0005,82.420845
TEST_0006,81.94282
TEST_0007,82.1175
TEST_0008,90.88541
TEST_0009,82.48391
TEST_0010,83.40226
TEST_0011,82.46136
TEST_0012,82.93526
TEST_0013,83.29557
TEST_0014,82.32351
TEST_0015,93.75085
TEST_0016,85.294044
TEST_0017,83.02453
TEST_0018,82.43627
TEST_0019,90.34546
TEST_0020,84.334465
TEST_0021,81.65777
TEST_0022,89.20994
TEST_0023,82.36098
TEST_0024,84.891365
TEST_0025,83.44033
TEST_0026,90.967896
TEST_0027,81.68089
TEST_0028,83.44782
TEST_0029,85.360695
TEST_0030,83.09703
TEST_0031,82.23872
TEST_0032,83.09292
TEST_0033,82.45011
TEST_0034,82.91754
TEST_0035,83.19458
TEST_0036,82.63183
TEST_0037,91.70257
TEST_0038,81.83067
TEST_0039,84.06805
TEST_0040,89.51572
TEST_0041,83.43192
TEST_0042,82.92469
TEST_0043,82.23237
TEST_0044,84.65255
TEST_0045,81.60163
TEST_0046,81.53433
TEST_0047,81.6289
TEST_0048,89.15169
TEST_0049,83.20574
TEST_0050,82.215324
TEST_0051,81.97021
TEST_0052,82.0705
TEST_0053,81.78872
TEST_0054,83.33195
TEST_0055,83.310295
TEST_0056,89.78767
TEST_0057,92.823494
TEST_0058,90.21549
TEST_0059,81.896225
TEST_0060,90.98031
TEST_0061,83.86246
TEST_0062,82.414986
TEST_0063,90.132835
TEST_0064,83.60591
TEST_0065,90.87973
TEST_0066,83.75865
TEST_0067,91.04207
TEST_0068,82.21361
TEST_0069,84.62692
TEST_0070,81.88383
TEST_0071,85.86741
TEST_0072,82.82851
TEST_0073,83.2663
TEST_0074,81.978905
TEST_0075,84.02076
TEST_0076,89.150276
TEST_0077,83.03875
TEST_0078,81.89498
TEST_0079,84.270454
TEST_0080,83.00652
TEST_0081,83.92968
TEST_0082,90.08762
TEST_0083,82.19561
TEST_0084,90.27084
TEST_0085,92.9873
TEST_0086,93.64459
TEST_0087,81.89648
TEST_0088,81.73861
TEST_0089,81.85447
TEST_0090,83.22696
TEST_0091,82.17193
TEST_0092,83.231964
TEST_0093,81.88801
TEST_0094,82.33964
TEST_0095,84.90581
TEST_0096,91.22499
TEST_0097,82.46812
TEST_0098,89.993965
TEST_0099,84.221214
TEST_0100,81.31157
TEST_0101,81.793144
TEST_0102,82.54125
TEST_0103,91.73863
TEST_0104,87.43161
TEST_0105,82.37658
TEST_0106,88.35478
TEST_0107,91.80453
TEST_0108,91.806274
TEST_0109,83.0924
TEST_0110,81.86983
TEST_0111,81.75109
TEST_0112,82.35578
TEST_0113,82.9421
TEST_0114,82.36164
TEST_0115,82.63384
TEST_0116,82.08187
TEST_0117,89.58741
TEST_0118,82.0402
TEST_0119,82.1153
TEST_0120,82.57145
TEST_0121,91.20152
TEST_0122,93.30826
TEST_0123,91.72565
TEST_0124,82.52072
TEST_0125,92.0086
TEST_0126,89.297935
TEST_0127,82.743904
TEST_0128,81.9083
TEST_0129,83.08034
TEST_0130,92.03339
TEST_0131,91.359764
TEST_0132,81.95953
TEST_0133,90.04374
TEST_0134,84.38093
TEST_0135,83.00401
TEST_0136,82.02708
TEST_0137,82.9595
TEST_0138,81.90548
TEST_0139,83.82449
TEST_0140,82.57997
TEST_0141,83.80751
TEST_0142,90.492226
TEST_0143,92.92715
TEST_0144,82.32543
TEST_0145,81.880196
TEST_0146,82.130714
TEST_0147,82.40418
TEST_0148,81.761665
TEST_0149,81.81803
TEST_0150,83.96018
TEST_0151,82.05948
TEST_0152,81.89797
TEST_0153,81.81377
TEST_0154,82.78756
TEST_0155,86.70104
TEST_0156,82.388145
TEST_0157,83.592384
TEST_0158,82.21548
TEST_0159,90.55594
TEST_0160,84.40238
TEST_0161,93.24909
TEST_0162,81.767586
TEST_0163,90.39791
TEST_0164,81.67683
TEST_0165,82.17489
TEST_0166,91.35782
TEST_0167,91.95525
TEST_0168,81.9319
TEST_0169,82.40626
TEST_0170,89.86785
TEST_0171,81.67971
TEST_0172,82.02362
TEST_0173,84.15618
TEST_0174,81.9573
TEST_0175,92.945465
TEST_0176,83.89445
TEST_0177,84.93623
TEST_0178,82.38569
TEST_0179,81.809105
TEST_0180,93.47438
TEST_0181,90.198166
TEST_0182,87.68824
TEST_0183,85.13783
TEST_0184,81.39352
TEST_0185,82.29029
TEST_0186,81.46398
TEST_0187,82.08002
TEST_0188,85.39165
TEST_0189,83.06262
TEST_0190,83.34966
TEST_0191,81.98314
TEST_0192,83.36009
TEST_0193,82.23345
TEST_0194,82.32489
TEST_0195,82.89764
TEST_0196,81.771454
TEST_0197,91.99464
TEST_0198,81.55775
TEST_0199,81.97598
TEST_0200,85.79158
TEST_0201,83.14956
TEST_0202,92.315994
TEST_0203,92.630165
TEST_0204,87.51217
TEST_0205,88.42243
TEST_0206,85.11484
TEST_0207,92.30262
TEST_0208,92.24818
TEST_0209,82.51165
TEST_0210,82.03122
TEST_0211,91.441185
TEST_0212,91.14345
TEST_0213,84.76899
TEST_0214,82.593414
TEST_0215,87.93345
TEST_0216,90.23802
TEST_0217,83.29909
TEST_0218,91.32386
TEST_0219,82.34139
TEST_0220,84.0933
TEST_0221,81.57095
TEST_0222,82.22027
TEST_0223,82.15168
TEST_0224,92.40356
TEST_0225,82.33102
TEST_0226,83.31357
TEST_0227,82.328545
TEST_0228,90.0043
TEST_0229,82.53219
TEST_0230,85.16785
TEST_0231,86.22628
TEST_0232,84.40496
TEST_0233,81.62072
TEST_0234,81.63314
TEST_0235,82.174255
TEST_0236,82.093666
TEST_0237,90.95231
TEST_0238,84.76442
TEST_0239,81.79853
TEST_0240,82.7533
TEST_0241,91.46097
TEST_0242,84.05114
TEST_0243,82.371284
TEST_0244,92.914825
TEST_0245,83.11489
TEST_0246,83.06541
TEST_0247,91.02865
TEST_0248,84.77874
TEST_0249,82.24155
TEST_0250,81.942276
TEST_0251,82.93098
TEST_0252,81.624054
TEST_0253,85.8637
TEST_0254,92.31237
TEST_0255,81.58174
TEST_0256,82.75927
TEST_0257,82.376976
TEST_0258,81.618965
TEST_0259,91.675545
TEST_0260,82.79989
TEST_0261,82.38395
TEST_0262,87.88832
TEST_0263,82.854576
TEST_0264,82.514244
TEST_0265,82.83184
TEST_0266,82.33906
TEST_0267,85.91331
TEST_0268,81.68125
TEST_0269,81.624756
TEST_0270,81.66463
