ID,y
TEST_0000,84.12234
TEST_0001,82.42362
TEST_0002,91.2556
TEST_0003,91.71035
TEST_0004,82.638504
TEST_0005,82.750656
TEST_0006,82.67953
TEST_0007,82.69371
TEST_0008,90.5694
TEST_0009,82.769905
TEST_0010,83.962105
TEST_0011,82.800415
TEST_0012,83.42147
TEST_0013,83.80274
TEST_0014,82.781784
TEST_0015,93.59575
TEST_0016,85.960724
TEST_0017,83.66766
TEST_0018,83.08923
TEST_0019,90.890724
TEST_0020,85.10016
TEST_0021,82.350075
TEST_0022,89.939095
TEST_0023,82.88266
TEST_0024,85.449684
TEST_0025,83.94915
TEST_0026,90.90732
TEST_0027,82.44509
TEST_0028,83.94675
TEST_0029,85.92763
TEST_0030,83.79126
TEST_0031,82.76115
TEST_0032,83.669136
TEST_0033,82.95311
TEST_0034,83.679115
TEST_0035,84.12749
TEST_0036,83.19841
TEST_0037,91.81721
TEST_0038,82.34817
TEST_0039,84.4687
TEST_0040,89.91503
TEST_0041,84.29142
TEST_0042,83.33645
TEST_0043,82.769135
TEST_0044,85.437225
TEST_0045,82.14589
TEST_0046,82.18896
TEST_0047,82.23802
TEST_0048,89.8607
TEST_0049,83.991806
TEST_0050,82.90216
TEST_0051,82.36626
TEST_0052,82.54462
TEST_0053,82.40085
TEST_0054,84.122086
TEST_0055,83.7908
TEST_0056,90.40071
TEST_0057,92.81265
TEST_0058,90.58548
TEST_0059,82.55678
TEST_0060,91.07202
TEST_0061,84.55334
TEST_0062,83.13953
TEST_0063,90.93385
TEST_0064,84.53149
TEST_0065,90.58163
TEST_0066,84.40767
TEST_0067,91.10121
TEST_0068,82.770966
TEST_0069,85.14737
TEST_0070,82.47992
TEST_0071,86.28941
TEST_0072,83.44835
TEST_0073,83.81598
TEST_0074,82.52397
TEST_0075,84.43368
TEST_0076,89.71112
TEST_0077,83.57443
TEST_0078,82.474724
TEST_0079,85.05726
TEST_0080,83.70514
TEST_0081,84.39636
TEST_0082,90.7061
TEST_0083,82.92358
TEST_0084,90.70149
TEST_0085,92.75284
TEST_0086,93.56089
TEST_0087,82.38956
TEST_0088,82.32571
TEST_0089,82.467735
TEST_0090,83.70363
TEST_0091,82.72187
TEST_0092,83.99468
TEST_0093,82.61299
TEST_0094,83.041565
TEST_0095,85.45766
TEST_0096,91.18289
TEST_0097,83.04127
TEST_0098,90.561
TEST_0099,84.58549
TEST_0100,81.98968
TEST_0101,82.33589
TEST_0102,83.00633
TEST_0103,91.89117
TEST_0104,87.95596
TEST_0105,83.03547
TEST_0106,88.74604
TEST_0107,91.85994
TEST_0108,91.96172
TEST_0109,83.75539
TEST_0110,82.4676
TEST_0111,82.34966
TEST_0112,82.7371
TEST_0113,83.45482
TEST_0114,82.92334
TEST_0115,83.241585
TEST_0116,82.70354
TEST_0117,90.18108
TEST_0118,82.71889
TEST_0119,82.52273
TEST_0120,83.05616
TEST_0121,91.42828
TEST_0122,93.35297
TEST_0123,91.66593
TEST_0124,82.839066
TEST_0125,92.16065
TEST_0126,89.71929
TEST_0127,83.20454
TEST_0128,82.573326
TEST_0129,83.56691
TEST_0130,91.923904
TEST_0131,91.654564
TEST_0132,82.451416
TEST_0133,90.70005
TEST_0134,84.887085
TEST_0135,83.710205
TEST_0136,82.53048
TEST_0137,83.445724
TEST_0138,82.32941
TEST_0139,84.216
TEST_0140,83.15338
TEST_0141,84.40669
TEST_0142,90.95434
TEST_0143,92.62921
TEST_0144,82.67513
TEST_0145,82.40596
TEST_0146,82.77486
TEST_0147,82.68052
TEST_0148,82.35892
TEST_0149,82.46882
TEST_0150,84.37286
TEST_0151,82.49692
TEST_0152,82.57779
TEST_0153,82.45593
TEST_0154,83.201035
TEST_0155,87.31113
TEST_0156,82.97218
TEST_0157,84.3152
TEST_0158,82.906685
TEST_0159,90.84159
TEST_0160,84.896866
TEST_0161,93.39024
TEST_0162,82.62261
TEST_0163,91.01416
TEST_0164,82.29881
TEST_0165,82.776215
TEST_0166,91.585686
TEST_0167,91.97583
TEST_0168,82.54997
TEST_0169,82.80572
TEST_0170,90.12351
TEST_0171,82.28613
TEST_0172,82.23514
TEST_0173,84.92577
TEST_0174,82.759995
TEST_0175,92.7481
TEST_0176,84.73102
TEST_0177,85.32981
TEST_0178,82.88951
TEST_0179,82.543564
TEST_0180,93.14313
TEST_0181,90.54682
TEST_0182,88.15503
TEST_0183,85.51912
TEST_0184,82.035736
TEST_0185,83.15422
TEST_0186,82.08493
TEST_0187,82.54738
TEST_0188,86.02991
TEST_0189,83.81564
TEST_0190,83.85803
TEST_0191,82.67671
TEST_0192,83.982635
TEST_0193,82.64079
TEST_0194,82.960556
TEST_0195,83.479706
TEST_0196,82.270874
TEST_0197,92.02375
TEST_0198,82.265335
TEST_0199,82.53731
TEST_0200,86.52782
TEST_0201,83.84949
TEST_0202,92.616196
TEST_0203,92.33628
TEST_0204,87.94774
TEST_0205,89.060196
TEST_0206,85.71007
TEST_0207,92.312645
TEST_0208,92.1223
TEST_0209,82.961044
TEST_0210,82.74195
TEST_0211,91.42729
TEST_0212,91.55834
TEST_0213,85.44471
TEST_0214,83.018814
TEST_0215,88.20795
TEST_0216,90.71787
TEST_0217,84.03679
TEST_0218,91.44096
TEST_0219,82.982376
TEST_0220,84.91198
TEST_0221,82.012215
TEST_0222,82.77765
TEST_0223,82.673004
TEST_0224,92.40553
TEST_0225,82.82086
TEST_0226,83.923836
TEST_0227,82.821884
TEST_0228,90.91179
TEST_0229,83.107315
TEST_0230,85.84806
TEST_0231,86.75117
TEST_0232,85.30319
TEST_0233,82.17965
TEST_0234,82.19707
TEST_0235,82.71395
TEST_0236,82.74446
TEST_0237,91.23104
TEST_0238,85.43375
TEST_0239,82.35369
TEST_0240,83.426994
TEST_0241,91.47588
TEST_0242,84.76986
TEST_0243,82.8685
TEST_0244,92.65428
TEST_0245,83.81225
TEST_0246,83.63076
TEST_0247,91.29329
TEST_0248,85.21009
TEST_0249,82.94779
TEST_0250,82.41346
TEST_0251,83.60723
TEST_0252,82.12537
TEST_0253,86.43758
TEST_0254,92.14513
TEST_0255,82.05886
TEST_0256,83.27899
TEST_0257,82.65761
TEST_0258,82.20432
TEST_0259,91.69446
TEST_0260,83.18903
TEST_0261,82.73164
TEST_0262,88.27529
TEST_0263,83.42504
TEST_0264,83.039566
TEST_0265,83.611404
TEST_0266,82.90186
TEST_0267,86.46699
TEST_0268,82.30349
TEST_0269,82.168785
TEST_0270,82.44856
TEST_0271,83.983406
TEST_0272,85.14423
TEST_0273,82.67007
TEST_0274,85.747574
TEST_0275,82.388
TEST_0276,83.564644
TEST_0277,82.46132
TEST_0278,83.67207
TEST_0279,82.389786
TEST_0280,82.63383
TEST_0281,83.48454
TEST_0282,82.336075
TEST_0283,82.4242
TEST_0284,82.48465
TEST_0285,82.74857
TEST_0286,85.36648
TEST_0287,82.29286
