ID,y
TEST_0000,84.83991
TEST_0001,83.18741
TEST_0002,92.16697
TEST_0003,92.46713
TEST_0004,83.41702
TEST_0005,83.5824
TEST_0006,83.35702
TEST_0007,83.48512
TEST_0008,91.56146
TEST_0009,83.4753
TEST_0010,84.88057
TEST_0011,83.68691
TEST_0012,84.15016
TEST_0013,84.65944
TEST_0014,83.53907
TEST_0015,94.80166
TEST_0016,86.64942
TEST_0017,84.03375
TEST_0018,84.0165
TEST_0019,91.64848
TEST_0020,85.73163
TEST_0021,83.00502
TEST_0022,90.63167
TEST_0023,83.71604
TEST_0024,86.19531
TEST_0025,84.6565
TEST_0026,91.81805
TEST_0027,82.9007
TEST_0028,84.54685
TEST_0029,86.59247
TEST_0030,84.36185
TEST_0031,83.63208
TEST_0032,84.44995
TEST_0033,83.75261
TEST_0034,84.59529
TEST_0035,84.89665
TEST_0036,83.973
TEST_0037,92.72054
TEST_0038,83.075005
TEST_0039,85.11517
TEST_0040,90.588394
TEST_0041,84.717575
TEST_0042,84.1783
TEST_0043,83.625595
TEST_0044,85.99847
TEST_0045,82.6031
TEST_0046,82.5461
TEST_0047,82.56087
TEST_0048,90.62068
TEST_0049,84.82151
TEST_0050,83.72733
TEST_0051,82.88196
TEST_0052,83.25712
TEST_0053,82.951294
TEST_0054,84.981125
TEST_0055,84.17746
TEST_0056,91.194626
TEST_0057,93.79132
TEST_0058,91.39667
TEST_0059,83.19109
TEST_0060,91.856476
TEST_0061,85.28351
TEST_0062,83.928116
TEST_0063,91.84204
TEST_0064,85.01403
TEST_0065,91.465836
TEST_0066,85.35962
TEST_0067,92.03116
TEST_0068,83.69269
TEST_0069,85.87091
TEST_0070,83.18994
TEST_0071,86.757454
TEST_0072,84.06027
TEST_0073,84.76431
TEST_0074,83.29779
TEST_0075,84.9871
TEST_0076,90.43054
TEST_0077,84.48004
TEST_0078,83.34117
TEST_0079,85.9142
TEST_0080,84.36281
TEST_0081,84.97703
TEST_0082,91.495544
TEST_0083,83.65656
TEST_0084,91.48551
TEST_0085,93.82622
TEST_0086,94.70888
TEST_0087,82.9126
TEST_0088,82.68138
TEST_0089,83.2348
TEST_0090,84.35881
TEST_0091,83.38425
TEST_0092,84.466484
TEST_0093,83.36484
TEST_0094,83.653984
TEST_0095,86.15919
TEST_0096,91.86194
TEST_0097,83.66072
TEST_0098,91.30269
TEST_0099,85.19292
TEST_0100,82.370995
TEST_0101,82.83411
TEST_0102,83.968704
TEST_0103,92.78337
TEST_0104,88.475464
TEST_0105,83.763374
TEST_0106,89.309364
TEST_0107,92.815475
TEST_0108,92.77608
TEST_0109,84.54589
TEST_0110,83.05455
TEST_0111,83.07343
TEST_0112,83.49767
TEST_0113,84.37055
TEST_0114,83.69441
TEST_0115,83.980545
TEST_0116,83.438255
TEST_0117,90.93788
TEST_0118,83.36014
TEST_0119,83.02372
TEST_0120,83.980255
TEST_0121,92.1676
TEST_0122,94.44679
TEST_0123,92.53299
TEST_0124,83.66142
TEST_0125,93.026184
TEST_0126,90.421844
TEST_0127,84.15577
TEST_0128,83.29471
TEST_0129,84.599724
TEST_0130,92.97197
TEST_0131,92.41846
TEST_0132,83.04258
TEST_0133,91.52286
TEST_0134,85.35982
TEST_0135,84.37085
TEST_0136,83.223015
TEST_0137,84.40123
TEST_0138,82.828575
TEST_0139,84.90443
TEST_0140,84.1335
TEST_0141,85.00296
TEST_0142,91.68944
TEST_0143,93.66805
TEST_0144,83.29814
TEST_0145,83.019005
TEST_0146,83.68029
TEST_0147,83.374794
TEST_0148,83.063385
TEST_0149,83.22215
TEST_0150,85.08644
TEST_0151,83.18887
TEST_0152,83.34707
TEST_0153,82.99866
TEST_0154,84.05584
TEST_0155,88.05301
TEST_0156,83.65184
TEST_0157,84.908646
TEST_0158,83.89993
TEST_0159,91.743286
TEST_0160,85.600006
TEST_0161,94.46926
TEST_0162,83.28055
TEST_0163,91.82142
TEST_0164,82.83839
TEST_0165,83.50777
TEST_0166,92.4583
TEST_0167,92.88766
TEST_0168,83.32437
TEST_0169,83.64557
TEST_0170,90.88023
TEST_0171,82.8411
TEST_0172,82.87204
TEST_0173,85.69447
TEST_0174,83.49306
TEST_0175,93.98909
TEST_0176,85.4192
TEST_0177,85.98388
TEST_0178,83.722885
TEST_0179,83.17069
TEST_0180,94.46019
TEST_0181,91.21611
TEST_0182,88.76866
TEST_0183,86.255356
TEST_0184,82.431366
TEST_0185,83.904396
TEST_0186,82.52528
TEST_0187,83.25987
TEST_0188,86.8217
TEST_0189,84.45918
TEST_0190,84.28249
TEST_0191,83.56307
TEST_0192,84.61818
TEST_0193,83.42963
TEST_0194,83.80345
TEST_0195,84.28037
TEST_0196,82.77458
TEST_0197,92.90454
TEST_0198,82.703995
TEST_0199,83.36499
TEST_0200,87.08349
TEST_0201,84.43857
TEST_0202,93.485054
TEST_0203,93.48482
TEST_0204,88.77754
TEST_0205,89.71527
TEST_0206,86.445175
TEST_0207,93.3076
TEST_0208,93.113556
TEST_0209,83.68683
TEST_0210,83.48924
TEST_0211,92.4626
TEST_0212,92.40569
TEST_0213,86.15213
TEST_0214,83.85808
TEST_0215,88.90343
TEST_0216,91.516106
TEST_0217,84.84125
TEST_0218,92.16667
TEST_0219,83.805595
TEST_0220,85.56469
TEST_0221,82.40822
TEST_0222,83.40226
TEST_0223,83.53551
TEST_0224,93.43306
TEST_0225,83.68341
TEST_0226,84.477394
TEST_0227,83.53096
TEST_0228,91.6671
TEST_0229,83.741005
TEST_0230,86.7336
TEST_0231,87.281906
TEST_0232,85.918365
TEST_0233,82.6165
TEST_0234,82.392624
TEST_0235,83.32364
TEST_0236,83.40709
TEST_0237,92.08603
TEST_0238,85.94538
TEST_0239,83.07492
TEST_0240,84.075714
TEST_0241,92.25905
TEST_0242,85.39389
TEST_0243,83.85552
TEST_0244,93.90679
TEST_0245,84.359535
TEST_0246,84.41592
TEST_0247,92.06582
TEST_0248,85.91472
TEST_0249,83.655464
TEST_0250,83.24841
TEST_0251,84.26401
TEST_0252,82.65722
TEST_0253,87.23511
TEST_0254,93.11508
TEST_0255,82.51763
TEST_0256,84.110535
