ID,y
TEST_0000,83.42738
TEST_0001,81.8123
TEST_0002,90.61271
TEST_0003,91.221146
TEST_0004,81.98413
TEST_0005,82.09961
TEST_0006,81.93457
TEST_0007,82.05421
TEST_0008,90.330696
TEST_0009,82.12577
TEST_0010,83.29202
TEST_0011,82.14302
TEST_0012,82.8197
TEST_0013,83.13618
TEST_0014,82.11528
TEST_0015,93.400955
TEST_0016,85.27667
TEST_0017,82.89853
TEST_0018,82.47337
TEST_0019,90.209564
TEST_0020,84.4207
TEST_0021,81.75589
TEST_0022,89.18892
TEST_0023,82.21965
TEST_0024,84.76917
TEST_0025,83.3176
TEST_0026,90.55639
TEST_0027,81.77479
TEST_0028,83.241005
TEST_0029,85.16287
TEST_0030,83.1365
TEST_0031,82.19388
TEST_0032,82.92559
TEST_0033,82.324135
TEST_0034,82.9979
TEST_0035,83.514534
TEST_0036,82.558815
TEST_0037,91.27243
TEST_0038,81.64718
TEST_0039,83.81735
TEST_0040,89.111465
TEST_0041,83.53439
TEST_0042,82.695816
TEST_0043,82.13584
TEST_0044,84.74104
TEST_0045,81.43837
TEST_0046,81.60659
TEST_0047,81.437195
TEST_0048,89.05026
TEST_0049,83.44851
TEST_0050,82.306244
TEST_0051,81.74333
TEST_0052,82.04033
TEST_0053,81.72084
TEST_0054,83.55022
TEST_0055,83.16699
TEST_0056,89.595345
TEST_0057,92.56166
TEST_0058,89.893364
TEST_0059,81.87578
TEST_0060,90.55716
TEST_0061,83.88118
TEST_0062,82.51993
TEST_0063,90.06427
TEST_0064,83.88565
TEST_0065,90.31439
TEST_0066,83.77555
TEST_0067,90.65329
TEST_0068,82.11612
TEST_0069,84.40163
TEST_0070,81.79431
TEST_0071,85.55339
TEST_0072,82.83075
TEST_0073,83.22757
TEST_0074,81.87704
TEST_0075,83.717316
TEST_0076,88.90024
TEST_0077,82.95393
TEST_0078,81.8588
TEST_0079,84.40323
TEST_0080,83.005455
TEST_0081,83.70786
TEST_0082,90.05165
TEST_0083,82.20209
TEST_0084,90.04707
TEST_0085,92.50774
TEST_0086,93.257256
TEST_0087,81.73399
TEST_0088,81.672516
TEST_0089,81.74232
TEST_0090,83.05198
TEST_0091,82.01744
TEST_0092,83.24827
TEST_0093,81.97554
TEST_0094,82.28691
TEST_0095,84.746124
TEST_0096,90.81718
TEST_0097,82.3217
TEST_0098,89.759254
TEST_0099,83.81627
TEST_0100,81.35251
TEST_0101,81.57958
TEST_0102,82.36888
TEST_0103,91.46422
TEST_0104,87.26671
TEST_0105,82.46109
TEST_0106,88.02738
TEST_0107,91.504745
TEST_0108,91.45026
TEST_0109,83.14017
TEST_0110,81.8322
TEST_0111,81.70882
TEST_0112,82.02438
TEST_0113,82.75112
TEST_0114,82.30691
TEST_0115,82.56432
TEST_0116,82.15448
TEST_0117,89.455086
TEST_0118,82.06831
TEST_0119,81.837585
TEST_0120,82.46161
TEST_0121,90.8756
TEST_0122,92.89279
TEST_0123,91.31117
TEST_0124,82.12251
TEST_0125,91.61784
TEST_0126,88.94775
TEST_0127,82.50238
TEST_0128,81.8212
TEST_0129,82.89379
TEST_0130,91.641975
TEST_0131,91.03827
TEST_0132,81.87411
TEST_0133,89.999146
TEST_0134,84.167435
TEST_0135,83.11757
TEST_0136,81.88164
TEST_0137,82.80864
TEST_0138,81.68962
TEST_0139,83.54624
TEST_0140,82.57875
TEST_0141,83.7131
TEST_0142,90.32213
TEST_0143,92.405685
TEST_0144,82.07866
TEST_0145,81.724625
TEST_0146,82.098
TEST_0147,82.000656
TEST_0148,81.61887
TEST_0149,81.93024
TEST_0150,83.686356
TEST_0151,81.89833
TEST_0152,81.89232
TEST_0153,81.79572
TEST_0154,82.599106
TEST_0155,86.53927
TEST_0156,82.32507
TEST_0157,83.6122
TEST_0158,82.26655
TEST_0159,90.18672
TEST_0160,84.226555
