ID,y
TEST_0000,83.866516
TEST_0001,82.19922
TEST_0002,91.208664
TEST_0003,91.73284
TEST_0004,82.41811
TEST_0005,82.54386
TEST_0006,82.45594
TEST_0007,82.4768
TEST_0008,90.62773
TEST_0009,82.55013
TEST_0010,83.79256
TEST_0011,82.57304
TEST_0012,83.1605
TEST_0013,83.63417
TEST_0014,82.571236
TEST_0015,93.90114
TEST_0016,85.7387
TEST_0017,83.33709
TEST_0018,82.87796
TEST_0019,90.69268
TEST_0020,84.84379
TEST_0021,82.110146
TEST_0022,89.8085
TEST_0023,82.74412
TEST_0024,85.30265
TEST_0025,83.6993
TEST_0026,90.848305
TEST_0027,82.20205
TEST_0028,83.764275
TEST_0029,85.7419
TEST_0030,83.49181
TEST_0031,82.611244
TEST_0032,83.4297
TEST_0033,82.75883
TEST_0034,83.47619
TEST_0035,83.867485
TEST_0036,83.03445
TEST_0037,91.84057
TEST_0038,82.140434
TEST_0039,84.16471
TEST_0040,89.76057
TEST_0041,83.97702
TEST_0042,83.161026
TEST_0043,82.60206
TEST_0044,85.22924
TEST_0045,81.90171
TEST_0046,81.92501
TEST_0047,81.96961
TEST_0048,89.675545
TEST_0049,83.77407
TEST_0050,82.71143
TEST_0051,82.041695
TEST_0052,82.31828
TEST_0053,82.1627
TEST_0054,83.9365
TEST_0055,83.50479
TEST_0056,90.26077
TEST_0057,92.929306
TEST_0058,90.58225
TEST_0059,82.3507
TEST_0060,91.118614
TEST_0061,84.26237
TEST_0062,82.88624
TEST_0063,90.83376
TEST_0064,84.24444
TEST_0065,90.59135
TEST_0066,84.18409
TEST_0067,91.15531
TEST_0068,82.5749
TEST_0069,84.959404
TEST_0070,82.283005
TEST_0071,86.043526
TEST_0072,83.15818
TEST_0073,83.55897
TEST_0074,82.293564
TEST_0075,84.14996
TEST_0076,89.501274
TEST_0077,83.40877
TEST_0078,82.30019
TEST_0079,84.84853
TEST_0080,83.445335
TEST_0081,84.10781
TEST_0082,90.64759
TEST_0083,82.72784
TEST_0084,90.62276
TEST_0085,92.803085
TEST_0086,93.70915
TEST_0087,82.13784
TEST_0088,82.09695
TEST_0089,82.25709
TEST_0090,83.467255
TEST_0091,82.50609
TEST_0092,83.72206
TEST_0093,82.45948
TEST_0094,82.83576
TEST_0095,85.28207
TEST_0096,91.28864
TEST_0097,82.80606
TEST_0098,90.428825
TEST_0099,84.42391
TEST_0100,81.742294
TEST_0101,82.07224
TEST_0102,82.823784
TEST_0103,91.98783
TEST_0104,87.68238
TEST_0105,82.83368
TEST_0106,88.523
TEST_0107,91.889175
TEST_0108,92.09225
TEST_0109,83.53411
TEST_0110,82.277794
TEST_0111,82.11048
TEST_0112,82.54982
TEST_0113,83.322845
TEST_0114,82.70193
TEST_0115,82.999245
TEST_0116,82.500336
TEST_0117,89.99656
TEST_0118,82.45613
TEST_0119,82.31088
TEST_0120,82.86971
TEST_0121,91.517296
TEST_0122,93.4493
TEST_0123,91.6401
TEST_0124,82.68376
TEST_0125,92.27302
TEST_0126,89.60315
TEST_0127,83.02201
TEST_0128,82.36537
